,species,elevation,soil_type,sepal_length,sepal_width,petal_length,petal_width,sepal_area,petal_area,sepal_aspect_ratio,petal_aspect_ratio,petal_curvature_mm,petal_texture_trichomes_per_mm2,leaf_area_cm2
99,setosa,low,sandy,low,medium,low,low,medium,low,low,low,low,high,medium
100,setosa,medium,sandy,low,low,low,low,low,low,low,medium,low,medium,low
101,setosa,low,clay,low,high,low,low,medium,low,low,low,low,high,low
102,setosa,low,loamy,low,medium,low,low,medium,low,medium,medium,low,medium,medium
103,setosa,high,loamy,low,medium,low,low,low,low,low,low,low,high,low
104,setosa,low,loamy,medium,high,low,low,medium,low,low,medium,low,medium,medium
105,setosa,high,clay,low,high,low,low,medium,low,low,low,low,high,low
106,setosa,high,sandy,low,medium,low,low,low,low,low,low,low,high,low
107,setosa,low,clay,low,medium,low,low,low,low,low,medium,low,high,low
108,setosa,low,loamy,medium,medium,low,low,medium,low,low,low,low,high,medium
109,setosa,low,clay,low,high,low,low,medium,low,low,medium,low,high,medium
110,setosa,high,sandy,low,medium,low,low,low,low,low,low,low,high,low
111,setosa,medium,clay,low,medium,low,low,medium,low,low,low,low,high,medium
112,setosa,high,loamy,low,high,low,low,medium,low,low,low,low,high,medium
113,setosa,high,sandy,low,low,low,low,low,low,low,medium,low,medium,low
114,setosa,high,clay,low,medium,low,low,low,low,low,medium,low,high,medium
115,setosa,low,clay,low,high,low,low,medium,low,low,medium,low,high,low
116,setosa,low,sandy,low,medium,low,low,medium,low,low,medium,low,high,low
117,setosa,high,sandy,low,low,low,low,low,low,medium,low,low,high,low
118,setosa,low,loamy,medium,medium,low,low,medium,low,low,low,low,high,low
119,setosa,low,sandy,medium,medium,low,low,medium,low,medium,medium,low,high,low
120,setosa,high,loamy,low,high,low,low,low,low,low,medium,low,high,medium
121,setosa,medium,clay,low,medium,low,low,low,low,low,medium,low,medium,low
122,setosa,high,loamy,low,high,low,low,medium,low,low,low,low,high,low
123,setosa,medium,clay,low,high,low,low,high,low,low,medium,low,high,low
124,setosa,low,sandy,low,low,low,low,low,low,medium,medium,low,medium,low
125,setosa,high,clay,low,high,low,low,medium,low,low,low,low,high,low
126,setosa,low,sandy,low,low,low,low,low,low,medium,medium,low,medium,low
127,setosa,medium,clay,low,high,low,low,high,low,low,medium,low,high,medium
128,setosa,medium,clay,low,high,low,low,medium,low,low,medium,low,high,low
129,setosa,low,clay,low,high,low,low,high,low,low,medium,low,high,medium
130,setosa,medium,clay,low,high,low,low,medium,low,low,low,low,high,low
131,setosa,low,loamy,low,high,low,low,medium,low,low,medium,low,high,low
132,setosa,medium,clay,low,medium,low,low,low,low,low,low,low,high,medium
133,setosa,medium,loamy,low,medium,low,low,medium,low,low,medium,low,high,low
134,setosa,high,sandy,low,low,low,low,low,low,medium,medium,low,medium,medium
135,setosa,high,sandy,low,medium,low,low,medium,low,low,medium,low,medium,low
136,setosa,low,loamy,low,medium,low,low,medium,low,low,medium,low,high,low
137,setosa,medium,sandy,low,medium,low,low,low,low,low,medium,low,medium,low
138,setosa,medium,sandy,low,low,low,low,low,low,medium,medium,low,high,low
139,setosa,low,clay,low,medium,low,low,medium,low,low,low,low,high,low
140,setosa,high,clay,low,high,low,low,medium,low,low,low,low,high,low
141,setosa,high,clay,low,medium,low,low,low,low,low,medium,low,medium,low
142,setosa,low,loamy,low,high,low,low,high,low,low,low,low,high,low
143,setosa,medium,loamy,low,low,low,low,low,low,medium,medium,low,medium,low
144,setosa,low,sandy,low,medium,low,low,low,low,low,medium,low,medium,low
145,setosa,medium,clay,low,high,low,low,high,low,low,medium,low,medium,low
146,setosa,low,loamy,low,medium,low,low,low,low,low,medium,low,high,low
147,setosa,high,loamy,low,medium,low,low,low,low,low,medium,low,high,medium
148,setosa,high,clay,low,high,low,low,medium,low,low,low,low,high,low
149,setosa,medium,loamy,low,high,low,low,medium,low,low,medium,low,high,low
150,setosa,medium,clay,low,high,low,low,high,low,low,medium,low,medium,low
151,setosa,high,sandy,low,low,low,low,low,low,medium,low,low,high,low
152,setosa,medium,sandy,low,low,low,low,low,low,medium,low,low,medium,low
153,setosa,low,sandy,medium,medium,low,low,medium,low,medium,medium,low,high,low
154,setosa,medium,clay,low,high,low,low,high,low,low,low,low,high,low
155,setosa,high,loamy,low,high,low,low,high,low,low,low,low,high,low
156,setosa,medium,sandy,low,low,low,low,low,low,low,medium,low,high,low
157,setosa,medium,sandy,low,medium,low,low,low,low,low,medium,low,high,low
158,setosa,high,sandy,low,low,low,low,low,low,medium,medium,low,high,low
159,setosa,high,loamy,low,medium,low,low,low,low,low,low,low,high,low
160,setosa,high,loamy,low,low,low,low,low,low,low,low,low,high,low
161,setosa,low,clay,low,high,low,low,low,low,low,medium,low,high,low
162,setosa,medium,sandy,medium,medium,low,low,medium,low,low,low,low,high,medium
163,setosa,high,loamy,medium,medium,low,low,medium,low,low,medium,low,high,low
164,setosa,high,clay,low,high,low,low,medium,low,low,medium,low,medium,low
165,setosa,medium,sandy,low,low,low,low,low,low,low,medium,low,medium,medium
166,setosa,low,loamy,low,high,low,low,medium,low,low,medium,low,medium,low
167,setosa,high,loamy,low,low,low,low,low,low,medium,low,low,high,low
168,setosa,high,clay,low,medium,low,low,low,low,low,medium,low,medium,low
169,setosa,low,sandy,medium,medium,low,low,medium,low,low,low,low,high,low
170,setosa,medium,sandy,low,medium,low,low,low,low,low,medium,low,high,low
171,setosa,low,loamy,low,medium,low,low,low,low,low,low,low,high,low
172,setosa,medium,sandy,low,medium,low,low,medium,low,low,medium,low,high,low
173,setosa,low,clay,low,high,low,low,medium,low,low,low,low,medium,low
174,setosa,medium,loamy,low,medium,low,low,medium,low,low,medium,low,high,medium
175,setosa,medium,loamy,low,low,low,low,low,low,low,low,low,high,low
176,setosa,medium,clay,low,high,low,low,medium,low,low,low,low,medium,medium
177,setosa,medium,loamy,low,medium,low,low,medium,low,low,low,low,medium,low
178,setosa,high,sandy,low,medium,low,low,low,low,low,low,low,high,low
179,setosa,low,sandy,low,medium,low,low,low,low,low,medium,low,high,medium
180,setosa,low,loamy,low,high,low,low,medium,low,low,medium,low,medium,low
181,setosa,high,clay,low,high,low,low,medium,low,low,medium,low,medium,low
182,setosa,low,clay,low,medium,low,low,medium,low,low,medium,low,medium,low
183,setosa,high,sandy,low,medium,low,low,medium,low,low,high,low,medium,low
184,setosa,high,clay,low,high,low,low,high,low,low,low,low,high,low
185,setosa,medium,loamy,low,medium,low,low,low,low,low,medium,low,high,low
186,setosa,high,loamy,low,medium,low,low,low,low,low,medium,low,medium,low
187,setosa,low,sandy,low,low,low,low,low,low,medium,medium,low,medium,low
188,setosa,low,sandy,low,high,low,low,medium,low,low,medium,low,high,low
189,setosa,medium,sandy,low,medium,low,low,low,low,low,medium,low,high,low
190,setosa,medium,clay,medium,high,low,low,high,low,low,low,low,high,medium
191,setosa,high,loamy,low,high,low,low,medium,low,low,medium,low,high,low
192,setosa,low,loamy,low,medium,low,low,medium,low,low,low,low,high,low
193,setosa,medium,loamy,low,low,low,low,low,low,medium,low,low,medium,low
194,setosa,medium,sandy,low,medium,low,low,low,low,low,low,low,high,low
195,setosa,medium,loamy,low,high,low,low,medium,low,low,medium,low,high,low
196,setosa,low,clay,low,high,low,low,high,low,low,low,low,high,low
197,setosa,medium,clay,low,high,low,low,medium,low,low,medium,low,medium,low
198,setosa,high,loamy,low,high,low,low,medium,low,low,medium,low,high,medium
199,setosa,low,sandy,low,medium,low,low,low,low,medium,medium,low,high,low
200,setosa,high,loamy,low,medium,low,low,low,low,low,medium,low,medium,low
201,setosa,medium,clay,low,medium,low,low,medium,low,low,medium,low,medium,low
202,setosa,high,clay,low,high,low,low,medium,low,low,medium,low,high,medium
203,setosa,high,clay,low,medium,low,low,medium,low,low,low,low,high,low
204,setosa,low,loamy,low,high,low,low,medium,low,low,low,low,high,low
205,setosa,medium,clay,medium,high,low,low,medium,low,low,low,low,high,low
206,setosa,high,sandy,low,low,low,low,low,low,medium,low,low,medium,low
207,setosa,medium,loamy,low,medium,low,low,low,low,low,medium,low,high,low
208,setosa,high,loamy,low,high,low,low,medium,low,low,medium,low,high,low
209,setosa,medium,clay,low,medium,low,low,medium,low,low,medium,low,high,low
210,setosa,low,clay,low,high,low,low,medium,low,low,medium,low,medium,low
211,setosa,medium,sandy,low,high,low,low,medium,low,low,medium,low,high,low
212,setosa,high,loamy,low,medium,low,low,low,low,low,medium,low,medium,low
213,setosa,low,clay,medium,medium,low,low,medium,low,low,low,low,high,low
214,setosa,high,sandy,low,medium,low,low,low,low,low,low,low,high,low
215,setosa,high,clay,low,high,low,low,high,low,low,medium,low,medium,low
216,setosa,medium,loamy,low,medium,low,low,medium,low,low,medium,low,high,low
217,setosa,low,clay,low,medium,low,low,medium,low,low,low,low,medium,low
218,setosa,high,loamy,low,high,low,low,medium,low,low,low,low,high,low
219,setosa,low,clay,low,high,low,low,high,low,low,low,low,high,low
220,setosa,high,loamy,low,high,low,low,medium,low,low,medium,low,medium,low
221,setosa,medium,sandy,low,low,low,low,low,low,medium,low,low,medium,low
222,setosa,medium,loamy,low,high,low,low,medium,low,low,low,low,high,medium
223,setosa,high,sandy,low,medium,low,low,medium,low,low,medium,low,high,low
224,setosa,medium,loamy,medium,medium,low,low,medium,low,medium,medium,low,high,low
225,setosa,medium,sandy,low,medium,low,low,medium,low,low,medium,low,high,low
226,setosa,medium,clay,low,high,low,low,medium,low,low,medium,low,medium,low
227,setosa,medium,loamy,low,high,low,low,medium,low,low,low,low,high,medium
228,setosa,medium,clay,low,high,low,low,medium,low,low,low,low,high,low
229,setosa,high,sandy,low,medium,low,low,low,low,low,medium,low,high,low
230,setosa,medium,loamy,low,medium,low,low,medium,low,low,medium,low,medium,low
231,setosa,medium,loamy,low,high,low,low,medium,low,low,medium,low,high,low
232,setosa,high,clay,low,high,low,low,high,low,low,medium,low,medium,low
233,setosa,low,loamy,low,medium,low,low,medium,low,low,medium,low,high,low
234,setosa,low,loamy,low,medium,low,low,medium,low,low,low,low,medium,low
235,setosa,high,clay,low,high,low,low,medium,low,low,low,low,high,low
236,setosa,high,loamy,low,medium,low,low,low,low,low,medium,low,high,low
237,setosa,medium,clay,low,high,low,low,medium,low,low,low,low,medium,low
238,setosa,medium,clay,low,high,low,low,medium,low,low,low,low,high,low
239,setosa,low,clay,low,high,low,low,high,low,low,low,low,high,low
240,setosa,medium,clay,low,high,low,low,medium,low,low,low,low,high,medium
241,setosa,medium,clay,low,high,low,low,medium,low,low,low,low,high,low
242,setosa,medium,sandy,low,low,low,low,low,low,medium,medium,low,high,low
243,setosa,medium,sandy,low,low,low,low,low,low,medium,medium,low,high,low
244,setosa,low,clay,low,high,low,low,medium,low,low,medium,low,high,medium
245,setosa,low,sandy,low,low,low,low,low,low,low,medium,low,high,low
246,setosa,high,sandy,low,medium,low,low,medium,low,low,medium,low,high,low
247,setosa,medium,loamy,low,low,low,low,low,low,medium,low,low,high,low
248,setosa,medium,clay,low,high,low,low,medium,low,low,medium,low,high,low
249,setosa,low,sandy,low,medium,low,low,low,low,low,medium,low,high,low
250,setosa,low,loamy,low,medium,low,low,medium,low,low,medium,low,medium,medium
251,setosa,high,loamy,low,high,low,low,medium,low,low,low,low,high,low
252,setosa,medium,clay,low,high,low,low,high,low,low,medium,low,high,medium
253,setosa,medium,clay,low,high,low,low,high,low,low,medium,low,high,low
254,setosa,low,loamy,low,high,low,low,medium,low,low,medium,low,medium,low
255,setosa,high,clay,low,high,low,low,high,low,low,low,low,high,low
256,setosa,low,clay,low,high,low,low,medium,low,low,medium,low,high,low
257,setosa,low,loamy,low,low,low,low,low,low,medium,medium,low,high,low
258,setosa,medium,loamy,low,high,low,low,medium,low,low,low,low,high,low
259,setosa,low,clay,low,high,low,low,high,low,low,medium,low,high,low
260,setosa,low,sandy,medium,medium,low,low,low,low,medium,medium,low,high,low
261,setosa,medium,clay,low,medium,low,low,low,low,low,low,low,high,low
262,setosa,medium,sandy,low,medium,low,low,low,low,low,medium,low,high,low
263,setosa,high,loamy,low,medium,low,low,low,low,low,low,low,high,medium
264,setosa,medium,sandy,low,low,low,low,low,low,medium,low,low,medium,low
265,setosa,low,loamy,medium,low,low,low,low,low,medium,high,low,high,low
266,setosa,low,clay,low,high,low,low,high,low,low,medium,low,medium,medium
267,setosa,high,clay,low,high,low,low,medium,low,low,low,low,high,medium
268,setosa,medium,loamy,low,medium,low,low,medium,low,low,medium,low,high,medium
269,setosa,high,loamy,low,high,low,low,medium,low,low,low,low,high,low
270,setosa,low,loamy,low,high,low,low,high,low,low,medium,low,high,low
271,setosa,medium,clay,low,high,low,low,medium,low,low,medium,low,medium,low
272,setosa,low,clay,low,high,low,low,medium,low,low,low,low,high,low
273,setosa,medium,sandy,low,medium,low,low,low,low,medium,medium,low,high,low
274,setosa,high,loamy,low,medium,low,low,medium,low,low,high,low,high,low
275,setosa,high,sandy,medium,low,low,low,low,low,medium,high,low,medium,medium
276,setosa,medium,clay,low,medium,low,low,medium,low,low,medium,low,high,low
277,setosa,medium,sandy,low,medium,low,low,low,low,low,low,low,high,medium
278,setosa,high,sandy,low,medium,low,low,low,low,low,low,low,high,low
279,setosa,high,clay,low,high,low,low,high,low,low,low,low,high,low
280,setosa,low,clay,low,medium,low,low,medium,low,low,low,low,high,low
281,setosa,medium,loamy,low,medium,low,low,low,low,low,medium,low,high,low
282,setosa,low,sandy,low,medium,low,low,medium,low,low,medium,low,medium,medium
283,setosa,medium,clay,low,high,low,low,medium,low,low,low,low,high,low
284,setosa,medium,clay,low,high,low,low,high,low,low,medium,low,high,low
285,setosa,medium,sandy,low,low,low,low,low,low,low,low,low,high,low
286,setosa,medium,clay,low,medium,low,low,low,low,low,low,low,high,medium
287,setosa,low,loamy,low,low,low,low,low,low,medium,medium,low,high,low
288,setosa,medium,loamy,low,high,low,low,medium,low,low,medium,low,high,low
289,setosa,high,sandy,low,low,low,low,low,low,medium,low,low,high,medium
290,setosa,medium,loamy,low,low,low,low,low,low,low,low,low,medium,low
291,setosa,medium,clay,medium,high,low,low,high,low,low,low,low,high,medium
292,setosa,high,clay,low,high,low,low,medium,low,low,low,low,high,low
293,setosa,high,clay,low,high,low,low,medium,low,low,medium,low,medium,low
294,setosa,low,clay,low,medium,low,low,low,low,low,low,low,high,medium
295,setosa,low,sandy,medium,low,low,low,low,low,medium,low,low,high,low
296,setosa,high,loamy,low,medium,low,low,low,low,low,low,low,high,low
297,setosa,high,loamy,low,low,low,low,low,low,low,low,low,high,low
298,setosa,high,clay,low,high,low,low,medium,low,low,low,low,high,low
299,setosa,high,sandy,low,medium,low,low,low,low,low,low,low,high,low
300,setosa,medium,clay,low,high,low,low,medium,low,low,medium,low,high,low
301,setosa,medium,clay,low,medium,low,low,low,low,low,low,low,high,low
302,setosa,low,sandy,low,low,low,low,low,low,low,low,low,high,medium
303,setosa,low,sandy,low,medium,low,low,medium,low,low,low,low,high,medium
304,setosa,medium,clay,low,high,low,low,medium,low,low,low,low,medium,low
305,setosa,medium,loamy,low,high,low,low,medium,low,low,low,low,high,low
306,setosa,medium,clay,low,high,low,low,medium,low,low,low,low,high,low
307,setosa,high,loamy,low,medium,low,low,low,low,low,low,low,medium,medium
308,setosa,low,loamy,low,high,low,low,medium,low,low,low,low,high,low
309,setosa,medium,sandy,low,medium,low,low,medium,low,low,medium,low,high,low
310,setosa,low,sandy,low,low,low,low,low,low,medium,medium,low,high,low
311,setosa,medium,clay,low,medium,low,low,medium,low,low,medium,low,medium,low
312,setosa,high,loamy,low,high,low,low,medium,low,low,medium,low,high,low
313,setosa,high,loamy,low,medium,low,low,low,low,medium,low,low,high,low
314,setosa,high,clay,low,high,low,low,medium,low,low,low,low,high,medium
315,setosa,low,clay,low,medium,low,low,medium,low,low,medium,low,high,low
316,setosa,medium,clay,low,high,low,low,medium,low,low,medium,low,medium,low
317,setosa,medium,sandy,medium,medium,low,low,medium,low,low,low,low,high,low
318,setosa,medium,clay,low,high,low,low,medium,low,low,low,low,high,low
319,setosa,high,clay,low,high,low,low,medium,low,low,low,low,high,low
320,setosa,high,loamy,low,high,low,low,medium,low,low,low,low,high,low
321,setosa,high,clay,low,high,low,low,medium,low,low,medium,low,high,low
322,setosa,low,loamy,low,high,low,low,high,low,low,medium,low,high,low
323,setosa,high,loamy,low,medium,low,low,low,low,low,low,low,high,low
324,setosa,low,sandy,low,medium,low,low,low,low,low,medium,low,high,low
325,setosa,high,clay,low,medium,low,low,medium,low,low,low,low,medium,medium
326,setosa,low,clay,low,high,low,low,medium,low,low,medium,low,medium,medium
327,setosa,low,loamy,low,high,low,low,medium,low,low,low,low,high,low
328,setosa,medium,sandy,low,low,low,low,low,low,medium,medium,low,low,low
329,setosa,high,sandy,low,medium,low,low,low,low,low,medium,low,high,low
330,setosa,low,clay,low,high,low,low,medium,low,low,low,low,high,low
331,setosa,medium,loamy,low,medium,low,low,low,low,low,medium,low,high,low
332,setosa,high,clay,low,high,low,low,high,low,low,low,low,high,low
333,setosa,medium,clay,low,high,low,low,medium,low,low,low,low,high,low
334,setosa,low,clay,low,high,low,low,medium,low,low,medium,low,high,low
335,setosa,medium,clay,low,high,low,low,high,low,low,low,low,high,low
336,setosa,medium,loamy,low,high,low,low,low,low,low,medium,low,medium,low
337,setosa,high,sandy,low,low,low,low,low,low,medium,low,low,high,low
338,setosa,high,clay,low,low,low,low,low,low,low,low,low,high,medium
339,setosa,medium,clay,low,high,low,low,low,low,low,low,low,high,low
340,setosa,high,clay,low,medium,low,low,low,low,low,low,low,medium,low
341,setosa,medium,clay,low,medium,low,low,low,low,low,medium,low,high,low
342,setosa,low,sandy,low,medium,low,low,medium,low,low,medium,low,high,low
343,setosa,low,sandy,medium,medium,low,low,medium,low,medium,medium,low,high,low
344,setosa,medium,sandy,low,high,low,low,medium,low,low,low,low,medium,low
345,setosa,low,sandy,medium,low,low,low,medium,low,medium,medium,low,medium,low
346,setosa,high,clay,low,high,low,low,high,low,low,low,low,high,low
347,setosa,high,loamy,low,medium,low,low,low,low,low,medium,low,high,low
348,setosa,low,sandy,low,medium,low,low,low,low,low,medium,low,medium,low
349,setosa,medium,sandy,low,low,low,low,low,low,medium,medium,low,medium,low
350,setosa,high,clay,low,high,low,low,high,low,low,low,low,high,low
351,setosa,high,clay,low,high,low,low,medium,low,low,low,low,high,medium
352,setosa,high,clay,low,high,low,low,high,low,low,low,low,high,low
353,setosa,medium,clay,low,high,low,low,medium,low,low,low,low,high,medium
354,setosa,high,loamy,low,high,low,low,medium,low,low,low,low,high,medium
355,setosa,medium,loamy,low,medium,low,low,low,low,low,low,low,high,low
356,setosa,medium,sandy,medium,low,low,low,low,low,medium,medium,low,high,low
357,setosa,low,loamy,low,high,low,low,medium,low,low,medium,low,high,low
358,setosa,low,sandy,low,medium,low,low,low,low,low,medium,low,high,low
359,setosa,medium,sandy,low,medium,low,low,low,low,low,low,low,medium,low
360,setosa,low,loamy,low,medium,low,low,low,low,low,low,low,high,low
361,setosa,low,sandy,low,medium,low,low,medium,low,low,medium,low,medium,medium
362,setosa,high,clay,low,high,low,low,high,low,low,medium,low,medium,low
363,setosa,low,sandy,low,low,low,low,low,low,medium,low,low,high,low
364,setosa,medium,clay,low,high,low,low,high,low,low,medium,low,medium,low
365,setosa,medium,loamy,low,medium,low,low,low,low,low,medium,low,high,medium
366,setosa,high,loamy,low,high,low,low,medium,low,low,low,low,high,medium
367,setosa,medium,sandy,low,low,low,low,low,low,medium,low,low,high,low
368,setosa,low,clay,low,high,low,low,medium,low,low,low,low,high,low
369,setosa,medium,sandy,low,low,low,low,low,low,low,medium,low,high,low
370,setosa,high,loamy,low,medium,low,low,medium,low,low,medium,low,high,medium
371,setosa,high,sandy,low,low,low,low,low,low,medium,low,low,high,low
372,setosa,medium,sandy,low,high,low,low,medium,low,low,low,low,medium,low
373,setosa,low,clay,medium,high,low,low,high,low,low,low,low,high,low
374,setosa,high,loamy,low,high,low,low,medium,low,low,medium,low,medium,low
375,setosa,low,sandy,low,medium,low,low,low,low,low,medium,low,high,low
376,setosa,medium,clay,low,high,low,low,high,low,low,low,low,high,low
377,setosa,medium,sandy,low,low,low,low,low,low,low,low,low,high,low
378,setosa,low,clay,low,high,low,low,medium,low,low,medium,low,medium,low
379,setosa,medium,clay,low,high,low,low,high,low,low,medium,low,medium,low
380,setosa,low,sandy,low,low,low,low,low,low,medium,low,low,high,medium
381,setosa,high,loamy,medium,high,low,low,high,low,low,low,low,high,low
