date,IDLieu,IDProduit,nbVentes,coût,bénéfice_pc,coût_pc,bénéfice
2019-10-15,FH-14275_23602,FUR-TA-10004607,4,478.97,0.1899986471,0.8100013529,112.35
2019-10-15,FH-14275_23602,OFF-AR-10001022,1,1.96,0.3098591549,0.6901408451,0.88
2019-10-15,FH-14275_23602,OFF-ST-10003479,5,184.97,0.0499743195,0.9500256805,9.73
2019-11-13,DB-13360_84106,OFF-PA-10000357,3,86.55,0.4799927902,0.5200072098,79.89
2019-11-26,MC-17575_60623,OFF-AP-10004249,1,8.73,-2.6527196653,3.6527196653,-6.34
2019-12-03,DM-12955_85204,OFF-ST-10004950,6,101.96,-0.0125124131,1.0125124131,-1.26
2019-08-21,MM-17920_22153,OFF-PA-10002986,2,6.95,0.4797904192,0.5202095808,6.41
2019-12-16,TW-21025_10011,OFF-BI-10003984,13,196.57,0.3375012639,0.6624987361,100.14
2019-12-01,AS-10630_98103,OFF-ST-10000532,7,199.33,0.259986635,0.740013365,70.03
2019-12-20,AY-10555_19140,OFF-AR-10002257,3,6.92,0.1371571072,0.8628428928,1.1
2019-04-14,BP-11230_90045,FUR-FU-10000409,4,32.36,0.4599465955,0.5400534045,27.56
2019-09-06,SD-20485_10801,TEC-MA-10000029,1,39.89,0.4300614373,0.5699385627,30.1
2019-11-22,CS-12250_29203,FUR-FU-10003773,5,353.86,0.1100100604,0.8899899396,43.74
2019-11-22,CS-12250_29203,OFF-AR-10004757,4,8.79,0.3300304878,0.6699695122,4.33
2019-11-22,CS-12250_29203,OFF-BI-10000309,3,23.29,0.4899255366,0.5100744634,22.37
2019-11-22,CS-12250_29203,OFF-PA-10001363,7,45.56,0.46998604,0.53001396,40.4
2019-12-09,MC-18100_79907,FUR-CH-10004675,5,785.09,-0.0285740488,1.0285740488,-21.81
2019-12-09,MC-18100_79907,TEC-PH-10000169,3,49.83,-0.2249262537,1.2249262537,-9.15
2019-03-25,KB-16240_33180,OFF-BI-10001097,1,3.18,-0.7005347594,1.7005347594,-1.31
2019-11-11,FG-14260_10024,OFF-PA-10003591,3,17.22,0.5,0.5,17.22
2019-10-22,TS-21370_90049,FUR-BO-10001337,6,653.29,-0.0588168558,1.0588168558,-36.29
2019-10-22,TS-21370_90049,OFF-BI-10004140,2,4.94,0.3119777159,0.6880222841,2.24
2019-10-22,TS-21370_90049,OFF-ST-10003442,5,103.22,0.2700141443,0.7299858557,38.18
2019-10-22,TS-21370_90049,OFF-SU-10000646,2,466.32,0.0299954237,0.9700045763,14.42
2019-10-22,TS-21370_90049,OFF-SU-10002301,2,6.22,0.0095541401,0.9904458599,0.06
2019-09-24,RA-19915_10011,OFF-PA-10004092,1,24.47,0.5,0.5,24.47
2019-09-28,JD-16015_98115,OFF-LA-10002475,4,15.5,0.4699042408,0.5300957592,13.74
2019-11-15,DH-13075_40475,OFF-AR-10002833,3,3.99,0.2692307692,0.7307692308,1.47
2019-11-15,DH-13075_40475,OFF-PA-10004359,6,327.13,0.4800031791,0.5199968209,301.97
2019-11-15,DH-13075_40475,OFF-ST-10001511,3,184.25,0.0500128899,0.9499871101,9.7
2019-11-15,DH-13075_40475,TEC-PH-10002923,1,27.0,0.2700729927,0.7299270073,9.99
2019-11-18,EH-13990_95823,FUR-CH-10001714,1,138.82,-0.1500289951,1.1500289951,-18.11
2019-12-23,AI-10855_94513,OFF-LA-10003923,6,44.4,0.5,0.5,44.4
2019-12-23,AI-10855_94513,TEC-PH-10001051,4,283.97,0.1125105479,0.8874894521,36.0
2019-01-17,IM-15055_89115,OFF-PA-10001804,6,20.84,0.4800399202,0.5199600798,19.24
2019-03-31,AY-10555_90049,FUR-FU-10000747,2,76.33,0.1699652023,0.8300347977,15.63
2019-03-31,AY-10555_90049,FUR-FU-10001918,7,20.2,0.3899124132,0.6100875868,12.91
2019-03-31,AY-10555_90049,OFF-PA-10001977,1,28.85,0.4799927902,0.5200072098,26.63
2019-03-31,AY-10555_90049,OFF-PA-10003309,3,10.11,0.4799382716,0.5200617284,9.33
2019-10-26,KH-16630_28205,OFF-AR-10000634,3,9.37,0.0876338851,0.9123661149,0.9
2019-10-26,KH-16630_28205,OFF-FA-10003021,5,6.11,0.1875,0.8125,1.41
2019-10-26,KH-16630_28205,OFF-LA-10001771,12,32.27,0.3250366032,0.6749633968,15.54
2019-10-26,KH-16630_28205,TEC-PH-10004434,9,868.72,0.1125005108,0.8874994892,110.12
2019-09-03,LC-17140_19140,FUR-FU-10002456,3,12.45,0.2873497424,0.7126502576,5.02
2019-09-03,LC-17140_19140,OFF-PA-10000788,3,10.11,0.3498392283,0.6501607717,5.44
2019-09-03,LC-17140_19140,TEC-AC-10002134,6,69.55,-0.0749613601,1.0749613601,-4.85
2019-09-03,LC-17140_19140,TEC-PH-10002549,1,167.14,-0.2333234947,1.2333234947,-31.62
2019-03-30,GM-14695_22304,OFF-AR-10000127,7,16.3,0.2900696864,0.7099303136,6.66
2019-03-30,GM-14695_22304,OFF-AR-10004757,7,15.38,0.3301393728,0.6698606272,7.58
2019-03-30,GM-14695_22304,OFF-PA-10003349,2,6.61,0.4899691358,0.5100308642,6.35
2019-03-30,GM-14695_22304,OFF-SU-10002881,5,4080.77,0.0199997598,0.9800002402,83.28
2019-03-30,GM-14695_22304,TEC-PH-10001615,1,20.58,0.2901000345,0.7098999655,8.41
2019-07-17,AG-10270_10011,TEC-AC-10001314,2,91.98,0.0800160032,0.9199839968,8.0
2019-10-11,EB-14170_77095,FUR-FU-10004586,2,6.9,-0.2994350282,1.2994350282,-1.59
2019-12-14,AB-10105_46203,OFF-BI-10004600,3,607.18,0.4500031704,0.5499968296,496.79
2019-12-14,AB-10105_46203,OFF-LA-10003720,1,1.96,0.4688346883,0.5311653117,1.73
2019-09-16,VG-21805_60653,OFF-ST-10002574,3,414.42,-0.2499849189,1.2499849189,-82.88
2019-11-03,BF-11215_10035,FUR-FU-10004091,9,35.04,0.3800424628,0.6199575372,21.48
2019-05-04,GM-14680_95123,FUR-CH-10002320,1,224.68,0.125009736,0.874990264,32.1
2019-05-04,GM-14680_95123,OFF-PA-10004353,2,20.78,0.47997998,0.52002002,19.18
2019-05-04,GM-14680_95123,OFF-SU-10004737,6,29.96,0.2699805068,0.7300194932,11.08
2019-05-04,GM-14680_95123,TEC-PH-10001817,5,1306.7,0.0875,0.9125,125.3
2019-06-29,DM-13525_32137,FUR-FU-10001591,2,14.15,0.275102459,0.724897541,5.37
2019-06-29,DM-13525_32137,FUR-FU-10003192,3,197.23,0.074992965,0.925007035,15.99
2019-06-29,DM-13525_32137,OFF-BI-10001787,5,16.68,-0.7003058104,1.7003058104,-6.87
2019-08-20,KB-16315_19711,FUR-FU-10001731,4,6.62,0.3801498127,0.6198501873,4.06
2019-08-20,KB-16315_19711,OFF-PA-10002160,3,8.84,0.4901960784,0.5098039216,8.5
2019-08-20,KB-16315_19711,OFF-PA-10002659,1,1.83,0.4585798817,0.5414201183,1.55
2019-01-09,EH-13990_30076,TEC-AC-10003628,5,83.97,0.4400133378,0.5599866622,65.98
2019-05-12,BS-11755_44105,TEC-PH-10002885,2,948.76,-0.2166709413,1.2166709413,-168.96
2019-11-15,GR-14560_94110,OFF-PA-10003309,2,6.74,0.4799382716,0.5200617284,6.22
2019-05-24,LW-16825_10024,OFF-AP-10001005,3,158.09,0.3299851663,0.6700148337,77.86
2019-05-24,LW-16825_10024,OFF-BI-10004233,2,16.63,0.3498827209,0.6501172791,8.95
2019-05-24,LW-16825_10024,OFF-PA-10001712,4,21.98,0.4499499499,0.5500500501,17.98
2019-05-24,LW-16825_10024,TEC-PH-10003505,5,329.44,0.29,0.71,134.56
2019-10-04,CM-12715_77340,OFF-BI-10004140,1,2.47,-1.7444444444,2.7444444444,-1.57
2019-10-04,CM-12715_77340,OFF-BI-10004817,5,31.15,-1.6001669449,2.6001669449,-19.17
2019-10-04,CM-12715_77340,TEC-PH-10001128,6,647.95,0.1000069449,0.8999930551,72.0
2019-10-04,CM-12715_77340,TEC-PH-10004667,7,689.79,0.087506945,0.912493055,66.15
2019-09-03,CC-12220_60653,OFF-PA-10001622,3,7.5,0.3119266055,0.6880733945,3.4
2019-11-24,JL-15505_10550,OFF-EN-10004007,4,33.01,0.4699743096,0.5300256904,29.27
2019-08-19,MW-18220_98103,TEC-PH-10000895,7,932.34,0.0750044646,0.9249955354,75.6
2019-09-06,AF-10885_45014,OFF-BI-10002429,7,110.8,-0.733416771,1.733416771,-46.88
2019-02-17,MG-17875_79907,OFF-BI-10000320,3,11.29,-1.5485327314,2.5485327314,-6.86
2019-02-17,MG-17875_79907,OFF-LA-10004425,3,4.6,0.3371757925,0.6628242075,2.34
2018-12-28,DP-13000_77095,OFF-PA-10000174,2,10.9,0.3373860182,0.6626139818,5.55
2019-11-26,EM-13825_30328,OFF-PA-10002195,3,8.08,0.469816273,0.530183727,7.16
2019-11-26,EM-13825_30328,TEC-AC-10000199,1,5.12,0.1394957983,0.8605042017,0.83
2019-05-05,PG-18895_76106,FUR-FU-10000723,4,150.4,-1.2749962184,2.2749962184,-84.29
2019-05-05,PG-18895_76106,TEC-AC-10001465,2,50.85,0.1249354672,0.8750645328,7.26
2019-05-05,PG-18895_76106,TEC-PH-10002597,1,94.49,0.062506201,0.937493799,6.3
2019-09-11,BN-11515_98103,FUR-FU-10004671,2,21.91,0.3800226372,0.6199773628,13.43
2019-09-11,BN-11515_98103,OFF-BI-10002735,5,90.92,0.3375109298,0.6624890702,46.32
2019-09-11,BN-11515_98103,OFF-ST-10000943,3,41.71,0.2799930951,0.7200069049,16.22
2019-09-11,BN-11515_98103,OFF-ST-10004963,2,29.07,0.0399603699,0.9600396301,1.21
2019-03-13,MC-17605_33801,FUR-FU-10002508,3,14.52,0.2747252747,0.7252747253,5.5
2019-03-13,MC-17605_33801,FUR-FU-10003981,3,3.62,0.2745490982,0.7254509018,1.37
2019-03-13,MC-17605_33801,OFF-BI-10001196,5,59.31,-0.7667560322,1.7667560322,-25.74
2019-03-13,MC-17605_33801,OFF-LA-10000443,4,7.82,0.3378492803,0.6621507197,3.99
2019-03-13,MC-17605_33801,OFF-ST-10000918,3,24.2,0.0749235474,0.9250764526,1.96
2019-03-13,MC-17605_33801,TEC-AC-10002647,2,117.04,0.3125,0.6875,53.2
2019-03-13,MC-17605_33801,TEC-PH-10004667,3,295.63,0.0875054016,0.9124945984,28.35
2019-08-19,JM-15265_90036,FUR-FU-10000771,1,3.64,0.4203821656,0.5796178344,2.64
2019-08-19,JM-15265_90036,OFF-PA-10004983,4,13.48,0.4799382716,0.5200617284,12.44
2019-08-19,JM-15265_90036,OFF-ST-10004258,4,35.65,0.2700655201,0.7299344799,13.19
2019-08-19,JM-15265_90036,TEC-AC-10002399,5,64.67,0.3199789695,0.6800210305,30.43
2019-02-23,DB-13060_98115,FUR-CH-10004063,2,406.09,0.1125073759,0.8874926241,51.48
2019-06-21,LM-17065_38671,FUR-TA-10001039,1,63.63,0.2599441731,0.7400558269,22.35
2019-06-21,LM-17065_38671,OFF-ST-10004337,5,306.2,0.0,1.0,0.0
2019-06-21,LM-17065_38671,TEC-AC-10000109,4,170.21,0.239998214,0.760001786,53.75
2019-06-11,DB-13660_19711,TEC-MA-10000423,3,34.96,0.4700621495,0.5299378505,31.01
2019-05-27,CK-12325_84057,FUR-FU-10000246,6,51.32,0.3000545554,0.6999454446,22.0
2019-05-27,CK-12325_84057,OFF-BI-10001658,3,40.37,0.3250292593,0.6749707407,19.44
2019-03-01,CM-12715_98103,FUR-CH-10002780,6,414.86,0.0500114495,0.9499885505,21.84
2019-03-01,CM-12715_98103,FUR-CH-10004495,2,427.39,0.1125070083,0.8874929917,54.18
2019-03-01,CM-12715_98103,OFF-AR-10000390,5,11.15,0.4600484262,0.5399515738,9.5
2019-03-01,CM-12715_98103,OFF-ST-10000934,5,204.9,0.0,1.0,0.0
2019-12-24,SP-20620_78041,OFF-BI-10002160,3,5.95,-1.5982532751,2.5982532751,-3.66
2019-12-24,SP-20620_78041,OFF-EN-10004955,3,8.27,0.3628659476,0.6371340524,4.71
2019-12-24,SP-20620_78041,TEC-AC-10003628,2,33.58,0.3001250521,0.6998749479,14.4
2019-12-24,SP-20620_78041,TEC-PH-10000576,3,300.01,0.0875053227,0.9124946773,28.77
2019-12-24,SP-20620_78041,TEC-PH-10002468,2,198.54,0.087508043,0.912491957,19.04
2019-12-02,TB-21175_77041,OFF-ST-10000777,2,54.38,0.0999668984,0.9000331016,6.04
2019-05-15,BT-11530_92037,OFF-AR-10003514,8,21.33,0.3300879397,0.6699120603,10.51
2019-01-29,MH-17440_92025,OFF-BI-10003676,2,11.21,0.3501449275,0.6498550725,6.04
2019-11-12,JG-15805_84604,OFF-PA-10003016,7,12.09,0.4499545041,0.5500454959,9.89
2019-12-03,CK-12760_94122,OFF-PA-10003845,6,17.69,0.4899077278,0.5100922722,16.99
2019-09-01,SZ-20035_77036,FUR-TA-10004154,1,223.75,-0.1142928287,1.1142928287,-22.95
2019-09-01,SZ-20035_77036,OFF-AR-10003179,3,18.31,0.1623970723,0.8376029277,3.55
2019-09-01,SZ-20035_77036,OFF-BI-10000050,2,7.74,-1.6506849315,2.6506849315,-4.82
2019-09-01,SZ-20035_77036,TEC-AC-10002718,4,49.61,-0.0625401585,1.0625401585,-2.92
2019-09-01,SZ-20035_77036,TEC-PH-10000675,3,182.02,0.0750076227,0.9249923773,14.76
2019-03-29,PK-18910_94109,OFF-LA-10001641,6,9.83,0.4798941799,0.5201058201,9.07
2019-11-22,DH-13675_94122,FUR-BO-10000330,4,416.17,-0.011766708,1.011766708,-4.84
2019-11-22,DH-13675_94122,OFF-LA-10002043,4,21.53,0.4799516908,0.5200483092,19.87
2019-11-22,DH-13675_94122,OFF-SU-10001225,2,7.21,0.0203804348,0.9796195652,0.15
2019-11-05,AP-10915_90008,FUR-CH-10000988,1,101.39,0.0999556147,0.9000443853,11.26
2019-11-05,AP-10915_90008,OFF-AR-10003156,3,22.56,0.2598425197,0.7401574803,7.92
2019-11-16,EH-14185_77506,OFF-BI-10001765,1,18.01,-1.5988455988,2.5988455988,-11.08
2019-01-01,VS-21820_77340,FUR-FU-10004864,3,130.44,-0.6999869673,1.6999869673,-53.71
2019-01-01,VS-21820_77340,OFF-BI-10003708,7,28.68,-1.7497603068,2.7497603068,-18.25
2019-02-25,EJ-14155_92037,FUR-TA-10002958,3,649.84,-0.0375029935,1.0375029935,-23.49
2019-05-24,JG-15160_10024,OFF-BI-10003684,4,43.98,0.3750177633,0.6249822367,26.39
2019-11-05,PK-19075_53711,OFF-ST-10004186,6,652.56,0.0200036043,0.9799963957,13.32
2019-11-18,MY-18295_43229,FUR-CH-10000847,3,645.98,-0.0571465977,1.0571465977,-34.92
2019-11-18,MY-18295_43229,TEC-PH-10000560,5,1259.96,-0.1999961904,1.1999961904,-209.99
2018-12-31,JO-15145_30605,OFF-AR-10002399,3,7.54,0.4100156495,0.5899843505,5.24
2019-06-01,NR-18550_60505,FUR-TA-10002041,3,478.71,-0.7799881014,1.7799881014,-209.77
2019-12-20,CK-12595_92024,FUR-FU-10001852,2,2.37,0.3189655172,0.6810344828,1.11
2019-12-20,CK-12595_92024,OFF-SU-10002189,3,11.79,0.0100755668,0.9899244332,0.12
2019-11-29,BS-11590_85234,OFF-AR-10002671,8,1001.72,0.0999982031,0.9000017969,111.3
2019-11-29,BS-11590_85234,TEC-PH-10002726,4,104.98,0.3750074418,0.6249925582,62.99
2019-10-25,GG-14650_90049,FUR-CH-10003833,3,155.5,-0.0625213529,1.0625213529,-9.15
2019-10-25,GG-14650_90049,OFF-AR-10001419,3,8.67,0.3002421308,0.6997578692,3.72
2019-10-25,GG-14650_90049,OFF-BI-10002571,2,10.58,0.3375078272,0.6624921728,5.39
2019-10-25,GG-14650_90049,OFF-BI-10004209,3,13.27,0.3124352332,0.6875647668,6.03
2019-10-25,GG-14650_90049,OFF-FA-10002975,3,6.12,0.4603174603,0.5396825397,5.22
2019-10-25,GG-14650_90049,OFF-PA-10000477,13,34.31,0.4700339821,0.5299660179,30.43
2019-10-25,GG-14650_90049,OFF-ST-10001963,4,393.47,0.0300019722,0.9699980278,12.17
2019-10-25,GG-14650_90049,OFF-ST-10003996,5,59.42,0.2600249066,0.7399750934,20.88
2019-10-25,GG-14650_90049,TEC-AC-10004568,9,204.05,0.189988488,0.810011512,47.86
2019-08-30,NP-18700_43402,OFF-ST-10000585,2,244.5,0.0749848668,0.9250151332,19.82
2019-08-18,RB-19645_59102,OFF-BI-10002799,2,5.6,0.3244873341,0.6755126659,2.69
2019-11-30,RS-19765_90008,OFF-ST-10001496,7,933.38,0.2600033298,0.7399966702,327.95
2019-12-23,DC-13285_55016,OFF-ST-10002444,2,17.68,0.2801302932,0.7198697068,6.88
2019-12-23,DC-13285_55016,TEC-AC-10001267,4,71.88,0.4,0.6,47.92
2019-05-08,AJ-10795_33710,FUR-FU-10004306,2,287.56,0.0750128667,0.9249871333,23.32
2019-08-27,BM-11785_60089,TEC-AC-10000844,7,380.75,0.2000042022,0.7999957978,95.19
2019-06-29,DP-13390_90004,OFF-BI-10001670,6,113.1,0.375,0.625,67.86
2019-09-22,GZ-14545_1841 ,OFF-ST-10001321,3,33.77,0.2699956766,0.7300043234,12.49
2019-01-29,DB-13270_92024,OFF-BI-10004230,3,53.89,0.3499396864,0.6500603136,29.01
2019-01-29,DB-13270_92024,OFF-PA-10000350,4,18.15,0.4699182243,0.5300817757,16.09
2019-08-19,BS-11590_43229,OFF-BI-10001982,4,11.1,-0.6998468606,1.6998468606,-4.57
2019-08-19,BS-11590_43229,OFF-BI-10002103,8,37.54,-0.7996164909,1.7996164909,-16.68
2019-08-19,BS-11590_43229,OFF-BI-10004141,3,5.15,-0.8006993007,1.8006993007,-2.29
2019-10-27,RD-19720_10024,FUR-FU-10004018,6,65.22,0.2699798522,0.7300201478,24.12
2019-10-27,RD-19720_10024,OFF-LA-10001569,7,18.82,0.4601262192,0.5398737808,16.04
2019-02-24,KN-16705_10009,OFF-EN-10001990,2,6.02,0.4700704225,0.5299295775,5.34
2019-02-24,KN-16705_10009,OFF-PA-10000587,5,18.93,0.4799450549,0.5200549451,17.47
2019-12-06,PB-19150_33178,OFF-EN-10001099,3,15.84,0.3250958671,0.6749041329,7.63
2019-06-26,EH-13945_7060 ,OFF-AR-10000716,1,3.4,0.3906810036,0.6093189964,2.18
2019-06-26,EH-13945_7060 ,TEC-PH-10002923,2,54.01,0.269937821,0.730062179,19.97
2019-02-08,ST-20530_77095,OFF-PA-10000466,3,10.11,0.3751545117,0.6248454883,6.07
2019-02-01,CK-12760_7036 ,TEC-AC-10000710,7,65.76,0.4299583911,0.5700416089,49.6
2019-10-22,BT-11395_67846,TEC-PH-10001336,2,183.17,0.2899837197,0.7100162803,74.81
2019-04-23,LA-16780_38109,FUR-CH-10001394,2,491.38,0.1250044517,0.8749955483,70.2
2019-04-23,LA-16780_38109,OFF-ST-10000798,5,101.17,-0.012510008,1.012510008,-1.25
2019-09-02,MC-17275_99301,FUR-CH-10000454,5,853.93,0.125,0.875,121.99
2019-09-02,MC-17275_99301,OFF-AR-10000380,8,212.69,0.2999934176,0.7000065824,91.15
2019-09-02,MC-17275_99301,OFF-AR-10003045,2,3.23,0.4506802721,0.5493197279,2.65
2019-09-02,MC-17275_99301,OFF-ST-10000736,6,466.44,0.040009879,0.959990121,19.44
2019-08-18,JP-15460_11572,FUR-FU-10004586,2,6.91,0.4796686747,0.5203313253,6.37
2019-08-18,JP-15460_11572,OFF-BI-10001116,3,8.23,0.3504340963,0.6495659037,4.44
2019-06-02,RD-19480_11561,OFF-BI-10003876,2,42.8,0.375,0.625,25.68
2019-06-02,RD-19480_11561,OFF-ST-10003470,6,1593.04,0.0499976146,0.9500023854,83.84
2019-01-31,DL-13315_60441,OFF-BI-10001196,2,23.72,-1.6502793296,2.6502793296,-14.77
2019-09-26,ES-14080_85281,OFF-EN-10004846,6,8.14,0.36256852,0.63743148,4.63
2019-09-26,ES-14080_85281,OFF-FA-10000735,2,3.21,0.312633833,0.687366167,1.46
2019-09-26,ES-14080_85281,OFF-PA-10001838,2,6.0,0.3623804463,0.6376195537,3.41
2019-09-26,ES-14080_85281,OFF-SU-10003567,2,18.62,-0.2122395833,1.2122395833,-3.26
2019-09-26,ES-14080_85281,TEC-AC-10003038,1,7.25,-0.0125698324,1.0125698324,-0.09
2019-09-26,ES-14080_85281,TEC-PH-10001557,3,210.22,0.0875075961,0.9124924039,20.16
2019-09-26,ES-14080_85281,TEC-PH-10001760,2,210.94,0.3375,0.6625,107.46
2019-12-10,EJ-13720_77340,FUR-FU-10002116,2,131.52,-1.3249071946,2.3249071946,-74.95
2019-12-10,EJ-13720_77340,OFF-PA-10000029,7,23.59,0.3499586663,0.6500413337,12.7
2019-10-25,AJ-10780_44052,FUR-TA-10003954,8,2156.19,-0.5166706526,1.5166706526,-734.53
2019-10-18,DB-12910_33311,OFF-PA-10000788,2,6.74,0.350048216,0.649951784,3.63
2019-05-22,MM-17260_98105,OFF-BI-10003876,4,85.6,0.375,0.625,51.36
2019-09-27,DO-13435_43229,OFF-AR-10004010,2,51.78,0.0750267953,0.9249732047,4.2
2019-09-27,DO-13435_43229,OFF-EN-10004030,5,9.59,0.3377071823,0.6622928177,4.89
2019-09-27,DO-13435_43229,TEC-AC-10003023,3,146.05,-0.0249842094,1.0249842094,-3.56
2019-08-09,CS-12355_33021,OFF-AP-10004708,5,135.11,0.1125197057,0.8874802943,17.13
2019-08-09,CS-12355_33021,OFF-PA-10000312,5,61.67,0.3249781086,0.6750218914,29.69
2019-12-15,JC-15775_19711,OFF-LA-10004409,6,9.33,0.4600694444,0.5399305556,7.95
2019-10-30,DE-13255_90008,FUR-FU-10000320,6,11.22,0.4401197605,0.5598802395,8.82
2019-06-24,AR-10825_90004,OFF-AR-10001374,5,22.03,0.3200617284,0.6799382716,10.37
2019-01-07,ND-18370_29464,FUR-CH-10000422,6,458.59,0.1599992673,0.8400007327,87.35
2019-08-06,CS-12175_8701 ,OFF-BI-10002854,7,98.11,0.4999745171,0.5000254829,98.1
2019-02-14,LC-16930_47374,FUR-FU-10000221,4,13.41,0.3400590551,0.6599409449,6.91
2019-02-14,LC-16930_47374,TEC-AC-10001284,3,39.88,0.3599743219,0.6400256781,22.43
2019-09-30,VP-21760_46203,OFF-ST-10001932,2,332.25,0.1400062121,0.8599937879,54.09
2019-08-26,LH-16900_10009,OFF-BI-10004716,2,15.43,0.350042123,0.649957877,8.31
2019-08-26,LH-16900_10009,TEC-AC-10002842,3,299.88,0.16,0.84,57.12
2019-07-15,PG-18820_68104,TEC-PH-10004100,2,25.91,0.2798777098,0.7201222902,10.07
2019-08-06,BW-11200_94122,FUR-FU-10002878,3,53.83,0.3699672285,0.6300327715,31.61
2019-08-06,BW-11200_94122,TEC-PH-10003691,8,755.94,0.0625046506,0.9374953494,50.4
2019-07-08,BF-10975_10009,OFF-AR-10004999,3,13.45,0.2502787068,0.7497212932,4.49
2019-09-01,LR-17035_95051,OFF-BI-10004308,5,52.45,0.375,0.625,31.47
2019-09-01,LR-17035_95051,OFF-PA-10000174,2,10.9,0.469844358,0.530155642,9.66
2019-09-01,LR-17035_95051,OFF-SU-10004290,4,19.97,0.2701023392,0.7298976608,7.39
2019-12-03,VP-21760_78521,OFF-PA-10001804,2,6.95,0.3498596819,0.6501403181,3.74
2019-12-03,VP-21760_78521,OFF-ST-10000036,3,216.35,0.0875158161,0.9124841839,20.75
2019-11-30,LF-17185_77095,FUR-FU-10002759,3,38.37,-0.6000834028,1.6000834028,-14.39
2019-07-30,SP-20650_10009,OFF-AR-10004165,7,8.94,0.4398496241,0.5601503759,7.02
2019-07-30,SP-20650_10009,TEC-PH-10002468,1,99.27,0.2700198544,0.7299801456,36.72
2019-10-16,MG-17680_43055,FUR-FU-10000521,4,80.98,0.1375013313,0.8624986687,12.91
2019-04-19,LC-16885_28403,TEC-PH-10004531,3,264.58,0.1250082677,0.8749917323,37.8
2019-07-06,BF-11170_90036,OFF-ST-10000107,9,204.8,0.17997998,0.82002002,44.95
2019-07-06,BF-11170_90036,TEC-PH-10000439,8,227.15,0.1124873017,0.8875126983,28.79
2019-04-29,EB-13870_78207,FUR-CH-10001146,3,137.0,-0.0714006413,1.0714006413,-9.13
2019-11-17,ED-13885_77036,OFF-LA-10003923,2,14.8,0.375,0.625,8.88
2019-10-12,AS-10225_36116,FUR-CH-10003774,6,474.92,0.1299919396,0.8700080604,70.96
2019-10-12,AS-10225_36116,OFF-ST-10001522,3,264.93,0.0400043483,0.9599956517,11.04
2019-10-12,AS-10225_36116,TEC-PH-10002352,5,1032.26,0.2600021506,0.7399978494,362.69
2019-01-15,TB-21400_33180,FUR-FU-10001889,3,21.15,0.1623762376,0.8376237624,4.1
2019-08-03,ED-13885_92037,OFF-LA-10000262,8,11.28,0.4597701149,0.5402298851,9.6
2019-04-05,MM-18055_59405,OFF-ST-10000876,7,62.7,0.2799724391,0.7200275609,24.38
2019-04-05,MM-18055_59405,TEC-AC-10003399,6,126.12,0.4199779249,0.5800220751,91.32
2019-04-05,MM-18055_59405,TEC-PH-10000586,2,96.34,0.0875165751,0.9124834249,9.24
