Order ID,Order Date,Ship Date,Customer ID,Address ID
CA-2017-155376,2022-12-16,2022-12-21,SG-20080,SG-20080_64055
CA-2015-110744,2020-08-31,2020-09-05,HA-14920,HA-14920_91104
CA-2014-110072,2019-10-16,2019-10-22,MG-17680,MG-17680_43055
CA-2016-114489,2021-11-29,2021-12-03,JE-16165,JE-16165_53132
CA-2016-158834,2021-03-07,2021-03-10,TW-21025,TW-21025_85254
CA-2015-124919,2020-05-24,2020-05-26,SP-20650,SP-20650_95123
CA-2015-118948,2020-05-21,2020-05-27,NK-18490,NK-18490_98105
CA-2014-104269,2019-02-23,2019-02-28,DB-13060,DB-13060_98115
CA-2016-114104,2021-11-14,2021-11-18,NP-18670,NP-18670_73034
CA-2016-162733,2021-05-05,2021-05-06,TT-21070,TT-21070_90045
CA-2015-119697,2020-12-21,2020-12-24,EM-13960,EM-13960_19134
CA-2016-154508,2021-11-10,2021-11-14,RD-19900,RD-19900_88220
CA-2016-113817,2021-11-01,2021-11-05,MJ-17740,MJ-17740_98115
CA-2014-139892,2019-09-02,2019-09-06,BM-11140,BM-11140_78207
CA-2014-118962,2019-07-30,2019-08-03,CS-12130,CS-12130_90004
US-2014-100853,2019-09-08,2019-09-13,JB-15400,JB-15400_60623
US-2017-152366,2022-04-15,2022-04-19,SJ-20500,SJ-20500_77036
US-2015-101511,2020-11-14,2020-11-16,JE-15745,JE-15745_43055
CA-2015-137225,2020-12-08,2020-12-12,JK-15640,JK-15640_10009
CA-2014-166191,2019-11-29,2019-12-03,DK-13150,DK-13150_62521
CA-2014-158274,2019-11-13,2019-11-18,RM-19675,RM-19675_71203
CA-2016-105018,2021-11-22,2021-11-26,SK-19990,SK-19990_6824
CA-2014-123260,2019-08-20,2019-08-24,FM-14290,FM-14290_90032
CA-2016-157000,2021-07-10,2021-07-16,AM-10360,AM-10360_75051
CA-2015-102281,2020-10-05,2020-10-07,MP-17470,MP-17470_10035
CA-2015-131457,2020-10-24,2020-10-30,MZ-17515,MZ-17515_92374
CA-2014-140004,2019-03-15,2019-03-19,CB-12025,CB-12025_45011
CA-2017-107720,2022-10-31,2022-11-07,VM-21685,VM-21685_7090
US-2017-124303,2022-06-30,2022-07-07,FH-14365,FH-14365_19120
CA-2017-105074,2022-06-18,2022-06-23,MB-17305,MB-17305_44312
CA-2014-133690,2019-07-28,2019-07-30,BS-11755,BS-11755_80219
US-2017-116701,2022-12-11,2022-12-15,LC-17140,LC-17140_75220
CA-2017-126382,2022-05-28,2022-06-01,HK-14890,HK-14890_37064
CA-2017-108329,2022-12-03,2022-12-08,LE-16810,LE-16810_90604
CA-2017-135860,2022-11-25,2022-12-01,JH-15985,JH-15985_48601
CA-2015-101007,2020-02-03,2020-02-07,MS-17980,MS-17980_75220
CA-2015-146262,2019-12-27,2020-01-03,VW-21775,VW-21775_44256
CA-2016-130162,2021-10-22,2021-10-26,JH-15910,JH-15910_90032
CA-2015-169397,2020-12-17,2020-12-20,JB-15925,JB-15925_43017
CA-2015-163055,2020-08-02,2020-08-09,DS-13180,DS-13180_48227
US-2015-145436,2020-02-22,2020-02-26,VD-21670,VD-21670_38401
US-2014-156216,2019-09-07,2019-09-11,EA-14035,EA-14035_28205
US-2017-100930,2022-04-01,2022-04-06,CS-12400,CS-12400_33614
CA-2017-160514,2022-11-06,2022-11-10,DB-13120,DB-13120_95051
CA-2016-157749,2021-05-29,2021-06-03,KL-16645,KL-16645_60610
CA-2014-131926,2019-05-26,2019-05-31,DW-13480,DW-13480_55044
CA-2016-154739,2021-12-04,2021-12-09,LH-17155,LH-17155_94109
CA-2016-145625,2021-09-05,2021-09-11,KC-16540,KC-16540_92037
CA-2016-146941,2021-12-04,2021-12-07,DL-13315,DL-13315_10024
US-2015-159982,2020-11-21,2020-11-27,DR-12880,DR-12880_60623
CA-2017-163139,2022-11-25,2022-11-27,CC-12670,CC-12670_10009
US-2017-155299,2022-06-02,2022-06-06,Dl-13600,Dl-13600_77506
US-2014-106992,2019-09-13,2019-09-15,SB-20290,SB-20290_77036
CA-2016-125318,2021-05-31,2021-06-07,RC-19825,RC-19825_60610
CA-2015-155040,2020-11-03,2020-11-08,AH-10210,AH-10210_94513
CA-2017-136826,2022-06-10,2022-06-14,CB-12535,CB-12535_27514
CA-2016-111010,2021-01-15,2021-01-21,PG-18895,PG-18895_7960
US-2017-145366,2022-12-03,2022-12-07,CA-12310,CA-12310_45231
CA-2017-163979,2022-12-22,2022-12-27,KH-16690,KH-16690_94110
CA-2015-155334,2020-07-23,2020-07-24,HA-14920,HA-14920_94109
CA-2017-118136,2022-09-10,2022-09-11,BB-10990,BB-10990_90301
CA-2017-132976,2022-10-07,2022-10-11,AG-10495,AG-10495_19140
US-2015-161991,2020-09-19,2020-09-21,SC-20725,SC-20725_77070
CA-2015-130890,2020-10-26,2020-10-30,JO-15280,JO-15280_90004
CA-2015-130883,2020-09-19,2020-09-25,TB-21520,TB-21520_97206
CA-2016-112697,2021-12-12,2021-12-14,AH-10195,AH-10195_33319
CA-2016-110772,2021-11-14,2021-11-18,NZ-18565,NZ-18565_43229
CA-2014-111451,2019-12-20,2019-12-22,KL-16555,KL-16555_80906
CA-2016-142545,2021-10-22,2021-10-28,JD-15895,JD-15895_7109
US-2017-152380,2022-11-13,2022-11-17,JH-15910,JH-15910_60623
CA-2015-144253,2020-04-27,2020-05-02,AS-10225,AS-10225_10024
CA-2014-130960,2019-12-24,2019-12-29,KB-16600,KB-16600_48180
CA-2014-111003,2019-05-26,2019-05-31,CR-12625,CR-12625_8701
CA-2017-126774,2022-04-09,2022-04-11,SH-20395,SH-20395_22204
CA-2016-142902,2021-09-06,2021-09-08,BP-11185,BP-11185_80004
CA-2014-120887,2019-09-21,2019-09-27,TS-21205,TS-21205_7601
CA-2014-167850,2019-08-03,2019-08-10,AG-10525,AG-10525_33710
CA-2014-164259,2019-12-22,2019-12-24,SP-20860,SP-20860_19143
CA-2014-164973,2019-10-29,2019-11-03,NM-18445,NM-18445_10024
CA-2014-156601,2019-09-13,2019-09-18,FA-14230,FA-14230_90805
CA-2016-162138,2021-04-17,2021-04-21,GK-14620,GK-14620_92345
CA-2017-153339,2022-10-28,2022-10-30,DJ-13510,DJ-13510_37130
US-2016-141544,2021-08-24,2021-08-26,PO-18850,PO-18850_19143
US-2016-150147,2021-04-19,2021-04-23,JL-15850,JL-15850_19134
CA-2015-137946,2020-08-25,2020-08-28,DB-13615,DB-13615_90045
CA-2014-129924,2019-07-06,2019-07-11,AC-10420,AC-10420_94122
CA-2015-128167,2020-06-15,2020-06-19,KL-16645,KL-16645_84041
CA-2014-122336,2019-04-07,2019-04-11,JD-15895,JD-15895_19140
US-2015-120712,2020-12-13,2020-12-17,CS-12130,CS-12130_78745
CA-2017-169901,2022-06-09,2022-06-13,CC-12550,CC-12550_94122
CA-2017-134306,2022-07-02,2022-07-06,TD-20995,TD-20995_1852
CA-2016-129714,2021-08-26,2021-08-28,AB-10060,AB-10060_10009
CA-2016-138520,2021-04-02,2021-04-07,JL-15505,JL-15505_10035
CA-2016-130001,2021-04-17,2021-04-22,HK-14890,HK-14890_28205
CA-2017-155698,2022-03-02,2022-03-05,VB-21745,VB-21745_31907
CA-2017-144904,2022-09-19,2022-09-25,KW-16435,KW-16435_10009
CA-2014-123344,2019-09-18,2019-09-23,JD-16060,JD-16060_94109
CA-2016-155516,2021-10-15,2021-10-15,MK-17905,MK-17905_6040
CA-2017-104745,2022-05-23,2022-05-29,GT-14755,GT-14755_78550
US-2014-119137,2019-07-17,2019-07-21,AG-10900,AG-10900_85705
US-2016-134656,2021-09-22,2021-09-25,MM-18280,MM-18280_62301
US-2017-134481,2022-08-21,2022-08-26,AR-10405,AR-10405_2038
CA-2015-130792,2020-04-21,2020-04-28,RA-19915,RA-19915_77095
CA-2016-134775,2021-10-22,2021-10-23,AS-10285,AS-10285_94109
CA-2015-125395,2020-06-19,2020-06-22,LA-16780,LA-16780_48180
US-2015-168935,2020-11-20,2020-11-25,DO-13435,DO-13435_33024
CA-2015-122756,2020-11-26,2020-11-30,DK-13225,DK-13225_19140
CA-2014-115973,2019-11-18,2019-11-20,NG-18430,NG-18430_45231
CA-2017-101798,2022-12-05,2022-12-09,MV-18190,MV-18190_10009
US-2014-135972,2019-09-15,2019-09-17,JG-15115,JG-15115_98198
US-2014-134971,2019-06-01,2019-06-04,BP-11095,BP-11095_61604
CA-2017-102946,2022-06-24,2022-06-29,VP-21730,VP-21730_89115
CA-2017-165603,2022-10-11,2022-10-13,SS-20140,SS-20140_2886
CA-2015-122259,2020-10-24,2020-10-28,HP-14815,HP-14815_49201
CA-2016-108987,2021-09-02,2021-09-04,AG-10675,AG-10675_77036
CA-2014-113166,2019-12-18,2019-12-20,LF-17185,LF-17185_33180
CA-2014-155208,2019-04-10,2019-04-14,SP-20650,SP-20650_28403
CA-2017-117933,2022-12-18,2022-12-23,RF-19840,RF-19840_10024
CA-2017-117457,2022-12-02,2022-12-06,KH-16510,KH-16510_94110
CA-2017-142636,2022-10-28,2022-11-01,KC-16675,KC-16675_98105
CA-2017-122105,2022-06-18,2022-06-22,CJ-12010,CJ-12010_92646
CA-2016-148796,2021-04-08,2021-04-12,PB-19150,PB-19150_90004
CA-2017-154816,2022-10-31,2022-11-04,VB-21745,VB-21745_40475
CA-2017-110478,2022-02-26,2022-03-03,SP-20860,SP-20860_90045
CA-2014-142048,2019-06-16,2019-06-19,JE-15745,JE-15745_80027
CA-2017-125388,2022-10-13,2022-10-17,MP-17965,MP-17965_1841
CA-2017-155705,2022-08-15,2022-08-17,NF-18385,NF-18385_39212
CA-2017-149160,2022-11-17,2022-11-20,JM-15265,JM-15265_48187
CA-2014-101476,2019-09-06,2019-09-07,SD-20485,SD-20485_10801
CA-2017-152275,2022-09-25,2022-10-02,KH-16630,KH-16630_78207
US-2016-123750,2021-04-09,2021-04-15,RB-19795,RB-19795_28052
CA-2016-127369,2021-05-31,2021-06-01,DB-13060,DB-13060_1852
US-2014-150574,2019-12-13,2019-12-19,MK-18160,MK-18160_32216
CA-2016-147375,2021-06-06,2021-06-08,PO-19180,PO-19180_60623
CA-2017-130043,2022-09-09,2022-09-13,BB-11545,BB-11545_77070
CA-2017-157252,2022-01-14,2022-01-17,CV-12805,CV-12805_10024
CA-2016-115756,2021-08-30,2021-09-01,PK-19075,PK-19075_48227
CA-2017-154214,2022-03-14,2022-03-19,TB-21595,TB-21595_47201
CA-2016-166674,2021-03-26,2021-03-28,RB-19360,RB-19360_13021
CA-2017-147277,2022-10-14,2022-10-18,EB-13705,EB-13705_44312
CA-2016-100153,2021-12-07,2021-12-11,KH-16630,KH-16630_73071
US-2014-110674,2019-02-06,2019-02-12,SC-20095,SC-20095_94521
US-2016-157945,2021-09-20,2021-09-25,NF-18385,NF-18385_62521
CA-2015-109638,2020-12-08,2020-12-15,JH-15985,JH-15985_98115
CA-2016-109869,2021-04-16,2021-04-23,TN-21040,TN-21040_85023
US-2015-101399,2020-01-11,2020-01-18,JS-15940,JS-15940_60068
CA-2017-154907,2022-03-25,2022-03-29,DS-13180,DS-13180_79109
US-2016-100419,2021-12-10,2021-12-14,CC-12670,CC-12670_60610
CA-2015-154144,2020-12-13,2020-12-17,MH-17785,MH-17785_11757
CA-2014-144666,2019-11-03,2019-11-05,JP-15520,JP-15520_94110
CA-2016-103891,2021-07-06,2021-07-13,KH-16690,KH-16690_90008
CA-2016-152632,2021-10-21,2021-10-27,JE-15475,JE-15475_12180
CA-2016-100790,2021-06-20,2021-06-26,JG-15805,JG-15805_10024
CA-2014-134677,2019-09-30,2019-10-04,XP-21865,XP-21865_92024
CA-2014-127691,2019-07-16,2019-07-21,EM-14065,EM-14065_10024
CA-2017-140963,2022-06-04,2022-06-07,MT-18070,MT-18070_90045
CA-2014-154627,2019-10-23,2019-10-25,SA-20830,SA-20830_60610
CA-2014-133753,2019-06-03,2019-06-07,CW-11905,CW-11905_77340
CA-2014-113362,2019-09-08,2019-09-13,AJ-10960,AJ-10960_14609
CA-2016-169166,2021-05-03,2021-05-08,SS-20590,SS-20590_98115
US-2016-120929,2021-03-12,2021-03-15,RO-19780,RO-19780_38109
CA-2015-134782,2020-12-20,2020-12-24,MD-17350,MD-17350_72701
CA-2016-126158,2021-07-19,2021-07-25,SC-20095,SC-20095_92627
US-2016-105578,2021-05-24,2021-05-29,MY-17380,MY-17380_80134
CA-2017-134978,2022-11-06,2022-11-09,EB-13705,EB-13705_10024
CA-2015-145352,2020-03-09,2020-03-15,CM-12385,CM-12385_30318
CA-2017-135307,2022-11-20,2022-11-21,LS-17245,LS-17245_64118
CA-2016-106341,2021-10-14,2021-10-17,LF-17185,LF-17185_43055
CA-2017-163405,2022-12-15,2022-12-19,BN-11515,BN-11515_90049
CA-2017-127432,2022-01-16,2022-01-21,AD-10180,AD-10180_59405
CA-2015-157812,2020-03-15,2020-03-19,DB-13210,DB-13210_77041
CA-2017-145142,2022-01-17,2022-01-19,MC-17605,MC-17605_48234
US-2016-139486,2021-05-15,2021-05-17,LH-17155,LH-17155_90032
CA-2015-158792,2020-12-19,2020-12-26,BD-11605,BD-11605_1841
CA-2017-113558,2022-10-15,2022-10-20,PH-18790,PH-18790_33801
US-2015-138303,2020-08-27,2020-08-31,MG-18145,MG-18145_19134
CA-2015-102848,2020-10-31,2020-11-02,KB-16240,KB-16240_90036
US-2017-129441,2022-09-01,2022-09-05,JC-15340,JC-15340_90032
CA-2016-168753,2021-05-23,2021-05-26,RL-19615,RL-19615_36116
CA-2016-126613,2021-07-04,2021-07-10,AA-10375,AA-10375_85204
US-2017-122637,2022-08-28,2022-09-02,EP-13915,EP-13915_60653
CA-2015-147851,2020-11-26,2020-12-01,MP-17470,MP-17470_10009
CA-2015-134894,2020-11-30,2020-12-04,DK-12985,DK-12985_42420
CA-2014-140795,2019-01-26,2019-01-28,BD-11500,BD-11500_54302
CA-2016-136924,2021-07-08,2021-07-11,ES-14080,ES-14080_85705
US-2015-120161,2020-12-11,2020-12-16,LM-17065,LM-17065_45503
CA-2014-103849,2019-05-05,2019-05-10,PG-18895,PG-18895_76106
CA-2017-162929,2022-11-13,2022-11-16,AS-10135,AS-10135_10035
CA-2015-113173,2020-11-08,2020-11-10,DK-13225,DK-13225_60653
CA-2016-136406,2021-04-09,2021-04-11,BD-11320,BD-11320_94110
CA-2017-112774,2022-09-05,2022-09-06,RC-19960,RC-19960_32216
CA-2017-101945,2022-11-18,2022-11-22,GT-14710,GT-14710_77070
CA-2017-100650,2022-06-23,2022-06-27,DK-13225,DK-13225_92804
CA-2014-155852,2019-02-25,2019-03-01,AJ-10945,AJ-10945_28403
CA-2016-113243,2021-06-04,2021-06-09,OT-18730,OT-18730_90045
CA-2017-118731,2022-11-14,2022-11-16,LP-17080,LP-17080_94110
CA-2014-145576,2019-09-08,2019-09-12,CA-12775,CA-12775_33614
CA-2015-130736,2020-11-30,2020-12-02,JF-15490,JF-15490_98105
CA-2017-137099,2022-12-01,2022-12-04,FP-14320,FP-14320_90008
CA-2017-156951,2022-09-25,2022-10-02,EB-13840,EB-13840_98105
CA-2017-164826,2022-12-22,2022-12-29,JF-15415,JF-15415_10024
CA-2016-127250,2021-10-28,2021-11-01,SF-20200,SF-20200_98270
CA-2015-149713,2020-09-11,2020-09-15,TG-21640,TG-21640_90805
CA-2017-118640,2022-07-14,2022-07-20,CS-11950,CS-11950_60610
CA-2015-132906,2020-09-03,2020-09-07,CC-12145,CC-12145_90004
CA-2017-145233,2022-11-25,2022-11-29,DV-13465,DV-13465_80219
CA-2015-128139,2020-06-26,2020-07-02,BD-11725,BD-11725_40475
US-2016-156986,2021-03-14,2021-03-18,ZC-21910,ZC-21910_97301
CA-2014-135405,2019-01-03,2019-01-07,MS-17830,MS-17830_78041
CA-2014-131450,2019-08-02,2019-08-09,LR-16915,LR-16915_92024
CA-2016-120180,2021-07-08,2021-07-10,TP-21130,TP-21130_19134
US-2016-100720,2021-07-10,2021-07-15,CK-12205,CK-12205_19120
CA-2014-149958,2019-03-09,2019-03-13,AS-10240,AS-10240_33614
US-2014-105767,2019-05-17,2019-05-21,AR-10510,AR-10510_19134
CA-2016-161816,2021-04-22,2021-04-25,NB-18655,NB-18655_75217
CA-2016-121223,2021-09-05,2021-09-07,GD-14590,GD-14590_19143
CA-2017-138611,2022-11-08,2022-11-11,CK-12595,CK-12595_43123
CA-2017-117947,2022-08-12,2022-08-17,NG-18355,NG-18355_10011
US-2014-111171,2019-12-20,2019-12-25,CA-12265,CA-12265_60610
CA-2015-138009,2020-11-22,2020-11-26,SF-20965,SF-20965_48126
CA-2017-163020,2022-09-09,2022-09-13,MO-17800,MO-17800_10009
CA-2017-153787,2022-05-13,2022-05-17,AT-10735,AT-10735_98115
CA-2017-133431,2022-12-11,2022-12-15,LC-17140,LC-17140_94122
US-2016-135720,2021-12-05,2021-12-07,FM-14380,FM-14380_80013
CA-2017-144694,2022-09-18,2022-09-20,BD-11605,BD-11605_33180
CA-2015-168004,2020-09-27,2020-10-02,DJ-13420,DJ-13420_31088
US-2016-123470,2021-08-09,2021-08-15,ME-17725,ME-17725_80013
CA-2016-115917,2021-05-14,2021-05-19,RB-19465,RB-19465_94591
CA-2016-147067,2021-12-12,2021-12-16,JD-16150,JD-16150_55407
CA-2017-167913,2022-07-24,2022-07-28,JL-15835,JL-15835_92691
CA-2017-106103,2022-06-04,2022-06-09,SC-20305,SC-20305_48307
US-2017-127719,2022-07-15,2022-07-19,TW-21025,TW-21025_7060
CA-2017-126221,2022-12-24,2022-12-30,CC-12430,CC-12430_47201
CA-2016-103947,2021-03-26,2021-04-02,BB-10990,BB-10990_85635
CA-2016-160745,2021-12-05,2021-12-10,AR-10825,AR-10825_98661
CA-2016-132661,2021-10-17,2021-10-23,SR-20740,SR-20740_10024
CA-2017-140844,2022-06-13,2022-06-17,AR-10405,AR-10405_10035
CA-2016-137239,2021-08-16,2021-08-22,CR-12730,CR-12730_43229
US-2016-156097,2021-09-13,2021-09-13,EH-14125,EH-14125_60505
CA-2015-146563,2020-08-17,2020-08-21,CB-12025,CB-12025_76017
CA-2016-123666,2021-03-20,2021-03-24,SP-20545,SP-20545_10011
CA-2016-143308,2021-10-29,2021-10-29,RC-19825,RC-19825_40214
CA-2017-132682,2022-06-02,2022-06-04,TH-21235,TH-21235_75081
CA-2014-156314,2019-12-18,2019-12-20,RP-19390,RP-19390_44105
US-2017-106663,2022-06-03,2022-06-07,MO-17800,MO-17800_60653
CA-2017-111178,2022-06-09,2022-06-16,TD-20995,TD-20995_62301
CA-2017-130351,2022-11-29,2022-12-02,RB-19570,RB-19570_47201
US-2017-119438,2022-03-12,2022-03-17,CD-11980,CD-11980_75701
CA-2016-164511,2021-11-13,2021-11-18,DJ-13630,DJ-13630_10024
US-2017-168116,2022-10-29,2022-10-29,GT-14635,GT-14635_27217
CA-2014-157784,2019-06-29,2019-07-02,MC-17845,MC-17845_39212
CA-2017-161480,2022-12-19,2022-12-23,RA-19285,RA-19285_10035
US-2014-117135,2019-06-15,2019-06-17,NP-18325,NP-18325_22980
CA-2015-131534,2020-03-21,2020-03-26,AB-10165,AB-10165_90036
CA-2015-119291,2020-05-07,2020-05-10,JO-15550,JO-15550_19013
CA-2017-114552,2022-08-27,2022-09-02,Dl-13600,Dl-13600_44105
CA-2016-163755,2021-10-29,2021-11-02,AS-10285,AS-10285_98103
CA-2015-142027,2020-04-02,2020-04-07,JK-15370,JK-15370_90805
CA-2014-138527,2019-09-06,2019-09-11,BN-11470,BN-11470_27511
CA-2014-112158,2019-11-26,2019-11-28,DP-13165,DP-13165_10035
CA-2014-113887,2019-03-30,2019-04-01,TH-21550,TH-21550_10035
CA-2017-146136,2022-08-28,2022-09-01,AP-10915,AP-10915_32137
US-2017-100048,2022-05-13,2022-05-18,RS-19765,RS-19765_10550
CA-2014-153150,2019-06-25,2019-06-30,Dl-13600,Dl-13600_98105
CA-2014-130092,2019-01-05,2019-01-08,SV-20365,SV-20365_19901
CA-2017-108910,2022-09-18,2022-09-23,KC-16540,KC-16540_43055
CA-2014-104472,2019-05-27,2019-06-01,CK-12325,CK-12325_84057
CA-2016-112942,2021-02-06,2021-02-11,RD-19810,RD-19810_90045
CA-2016-142335,2021-12-09,2021-12-13,MP-17965,MP-17965_48205
CA-2014-117429,2019-10-01,2019-10-07,MR-17545,MR-17545_19140
CA-2016-114713,2021-07-01,2021-07-06,SC-20695,SC-20695_33012
CA-2017-144113,2022-09-10,2022-09-14,JF-15355,JF-15355_78745
US-2016-150861,2021-11-27,2021-11-30,EG-13900,EG-13900_11572
CA-2017-131954,2022-01-15,2022-01-19,DS-13030,DS-13030_98115
CA-2014-132500,2019-09-02,2019-09-06,GZ-14470,GZ-14470_94110
CA-2014-112326,2018-12-29,2019-01-02,PO-19195,PO-19195_60540
US-2016-146710,2021-08-21,2021-08-26,SS-20875,SS-20875_75220
CA-2014-124429,2019-05-21,2019-05-21,MH-17785,MH-17785_92105
CA-2016-150889,2021-03-14,2021-03-16,PB-19105,PB-19105_60201
CA-2017-126074,2022-09-26,2022-09-30,RF-19735,RF-19735_48183
CA-2016-110499,2021-04-01,2021-04-03,YC-21895,YC-21895_94110
CA-2015-135272,2020-11-30,2020-12-05,MS-17830,MS-17830_90036
CA-2016-140928,2021-09-12,2021-09-16,NB-18655,NB-18655_32216
CA-2014-106803,2019-12-23,2019-12-27,DC-13285,DC-13285_55016
CA-2017-117240,2022-07-17,2022-07-22,CP-12340,CP-12340_10009
CA-2017-133333,2022-09-12,2022-09-16,BF-11020,BF-11020_54302
CA-2015-112319,2020-08-24,2020-08-29,AR-10510,AR-10510_90004
CA-2017-126046,2022-10-28,2022-11-01,JC-16105,JC-16105_30318
CA-2015-114923,2020-02-02,2020-02-07,LH-17020,LH-17020_43229
CA-2014-162775,2019-01-07,2019-01-09,CS-12250,CS-12250_71111
CA-2014-106810,2019-05-08,2019-05-14,AJ-10795,AJ-10795_33710
CA-2016-157245,2021-05-13,2021-05-18,LE-16810,LE-16810_22204
CA-2017-104220,2022-01-24,2022-01-30,BV-11245,BV-11245_50315
CA-2014-165974,2019-06-23,2019-06-30,DL-12865,DL-12865_45231
CA-2015-144267,2020-08-14,2020-08-16,NZ-18565,NZ-18565_94110
US-2015-157014,2020-09-26,2020-09-29,BM-11785,BM-11785_43229
CA-2015-154921,2020-05-16,2020-05-21,EA-14035,EA-14035_29203
CA-2017-129567,2022-03-11,2022-03-15,CL-12565,CL-12565_93534
CA-2015-154620,2020-12-05,2020-12-09,LT-17110,LT-17110_93534
