IDLieu,Ville,Etat,Region
VB-21745_31907,Columbus,Georgia,South
KW-16435_10009,New York City,New York,East 
JD-16060_94109,San Francisco,California,West 
MK-17905_6040,Manchester,Connecticut,East 
GT-14755_78550,Harlingen,Texas,Central
AG-10900_85705,Tucson,Arizona,West 
MM-18280_62301,Quincy,Illinois,Central
AR-10405_2038,Franklin,Massachusetts,East 
RA-19915_77095,Houston,Texas,Central
AS-10285_94109,San Francisco,California,West 
LA-16780_48180,Taylor,Michigan,Central
DO-13435_33024,Pembroke Pines,Florida,South
DK-13225_19140,Philadelphia,Pennsylvania,East 
NG-18430_45231,Cincinnati,Ohio,East 
MV-18190_10009,New York City,New York,East 
JG-15115_98198,Des Moines,Washington,West 
BP-11095_61604,Peoria,Illinois,Central
VP-21730_89115,Las Vegas,Nevada,West 
SS-20140_2886,Warwick,Rhode Island,East 
HP-14815_49201,Jackson,Michigan,Central
AG-10675_77036,Houston,Texas,Central
LF-17185_33180,Miami,Florida,South
SP-20650_28403,Wilmington,North Carolina,South
RF-19840_10024,New York City,New York,East 
KH-16510_94110,San Francisco,California,West 
KC-16675_98105,Seattle,Washington,West 
CJ-12010_92646,Huntington Beac,California,West 
PB-19150_90004,Los Angeles,California,West 
VB-21745_40475,Richmond,Kentucky,South
SP-20860_90045,Los Angeles,California,West 
JE-15745_80027,Louisville,Colorado,West 
MP-17965_1841,Lawrence,Massachusetts,East 
NF-18385_39212,Jackson,Mississippi,South
JM-15265_48187,Canton,Michigan,Central
SD-20485_10801,New Rochelle,New York,East 
KH-16630_78207,San Antonio,Texas,Central
RB-19795_28052,Gastonia,North Carolina,South
DB-13060_1852,Lowell,Massachusetts,East 
MK-18160_32216,Jacksonville,Florida,South
PO-19180_60623,Chicago,Illinois,Central
BB-11545_77070,Houston,Texas,Central
CV-12805_10024,New York City,New York,East 
PK-19075_48227,Detroit,Michigan,Central
TB-21595_47201,Columbus,Indiana,Central
RB-19360_13021,Auburn,New York,East 
EB-13705_44312,Akron,Ohio,East 
KH-16630_73071,Norman,Oklahoma,Central
SC-20095_94521,Concord,California,West 
NF-18385_62521,Decatur,Illinois,Central
JH-15985_98115,Seattle,Washington,West 
TN-21040_85023,Phoenix,Arizona,West 
JS-15940_60068,Park Ridge,Illinois,Central
DS-13180_79109,Amarillo,Texas,Central
CC-12670_60610,Chicago,Illinois,Central
MH-17785_11757,Lindenhurst,New York,East 
JP-15520_94110,San Francisco,California,West 
KH-16690_90008,Los Angeles,California,West 
JE-15475_12180,Troy,New York,East 
JG-15805_10024,New York City,New York,East 
XP-21865_92024,San Diego,California,West 
EM-14065_10024,New York City,New York,East 
MT-18070_90045,Los Angeles,California,West 
SA-20830_60610,Chicago,Illinois,Central
CW-11905_77340,Huntsville,Texas,Central
AJ-10960_14609,Rochester,New York,East 
SS-20590_98115,Seattle,Washington,West 
RO-19780_38109,Memphis,Tennessee,South
MD-17350_72701,Fayetteville,Arkansas,South
SC-20095_92627,Costa Mesa,California,West 
MY-17380_80134,Parker,Colorado,West 
EB-13705_10024,New York City,New York,East 
CM-12385_30318,Atlanta,Georgia,South
LS-17245_64118,Gladstone,Missouri,Central
LF-17185_43055,Newark,Ohio,East 
BN-11515_90049,Los Angeles,California,West 
AD-10180_59405,Great Falls,Montana,West 
DB-13210_77041,Houston,Texas,Central
MC-17605_48234,Detroit,Michigan,Central
LH-17155_90032,Los Angeles,California,West 
BD-11605_1841,Lawrence,Massachusetts,East 
PH-18790_33801,Lakeland,Florida,South
MG-18145_19134,Philadelphia,Pennsylvania,East 
KB-16240_90036,Los Angeles,California,West 
JC-15340_90032,Los Angeles,California,West 
RL-19615_36116,Montgomery,Alabama,South
AA-10375_85204,Mesa,Arizona,West 
EP-13915_60653,Chicago,Illinois,Central
MP-17470_10009,New York City,New York,East 
DK-12985_42420,Henderson,Kentucky,South
BD-11500_54302,Green Bay,Wisconsin,Central
ES-14080_85705,Tucson,Arizona,West 
LM-17065_45503,Springfield,Ohio,East 
PG-18895_76106,Fort Worth,Texas,Central
AS-10135_10035,New York City,New York,East 
DK-13225_60653,Chicago,Illinois,Central
BD-11320_94110,San Francisco,California,West 
RC-19960_32216,Jacksonville,Florida,South
GT-14710_77070,Houston,Texas,Central
DK-13225_92804,Anaheim,California,West 
AJ-10945_28403,Wilmington,North Carolina,South
OT-18730_90045,Los Angeles,California,West 
LP-17080_94110,San Francisco,California,West 
CA-12775_33614,Tampa,Florida,South
JF-15490_98105,Seattle,Washington,West 
FP-14320_90008,Los Angeles,California,West 
EB-13840_98105,Seattle,Washington,West 
JF-15415_10024,New York City,New York,East 
SF-20200_98270,Marysville,Washington,West 
TG-21640_90805,Long Beach,California,West 
CS-11950_60610,Chicago,Illinois,Central
CC-12145_90004,Los Angeles,California,West 
DV-13465_80219,Denver,Colorado,West 
BD-11725_40475,Richmond,Kentucky,South
ZC-21910_97301,Salem,Oregon,West 
MS-17830_78041,Laredo,Texas,Central
LR-16915_92024,San Diego,California,West 
TP-21130_19134,Philadelphia,Pennsylvania,East 
CK-12205_19120,Philadelphia,Pennsylvania,East 
AS-10240_33614,Tampa,Florida,South
AR-10510_19134,Philadelphia,Pennsylvania,East 
NB-18655_75217,Dallas,Texas,Central
GD-14590_19143,Philadelphia,Pennsylvania,East 
CK-12595_43123,Grove City,Ohio,East 
NG-18355_10011,New York City,New York,East 
CA-12265_60610,Chicago,Illinois,Central
SF-20965_48126,Dearborn,Michigan,Central
MO-17800_10009,New York City,New York,East 
AT-10735_98115,Seattle,Washington,West 
LC-17140_94122,San Francisco,California,West 
FM-14380_80013,Aurora,Colorado,West 
BD-11605_33180,Miami,Florida,South
DJ-13420_31088,Warner Robins,Georgia,South
ME-17725_80013,Aurora,Colorado,West 
RB-19465_94591,Vallejo,California,West 
JD-16150_55407,Minneapolis,Minnesota,Central
JL-15835_92691,Mission Viejo,California,West 
SC-20305_48307,Rochester Hills,Michigan,Central
TW-21025_7060,Plainfield,New Jersey,East 
CC-12430_47201,Columbus,Indiana,Central
BB-10990_85635,Sierra Vista,Arizona,West 
AR-10825_98661,Vancouver,Washington,West 
SR-20740_10024,New York City,New York,East 
AR-10405_10035,New York City,New York,East 
CR-12730_43229,Columbus,Ohio,East 
EH-14125_60505,Aurora,Illinois,Central
CB-12025_76017,Arlington,Texas,Central
SP-20545_10011,New York City,New York,East 
RC-19825_40214,Louisville,Kentucky,South
TH-21235_75081,Dallas,Texas,Central
RP-19390_44105,Cleveland,Ohio,East 
MO-17800_60653,Chicago,Illinois,Central
TD-20995_62301,Quincy,Illinois,Central
RB-19570_47201,Columbus,Indiana,Central
CD-11980_75701,Tyler,Texas,Central
DJ-13630_10024,New York City,New York,East 
GT-14635_27217,Burlington,North Carolina,South
MC-17845_39212,Jackson,Mississippi,South
RA-19285_10035,New York City,New York,East 
NP-18325_22980,Waynesboro,Virginia,South
AB-10165_90036,Los Angeles,California,West 
JO-15550_19013,Chester,Pennsylvania,East 
Dl-13600_44105,Cleveland,Ohio,East 
AS-10285_98103,Seattle,Washington,West 
JK-15370_90805,Long Beach,California,West 
BN-11470_27511,Cary,North Carolina,South
DP-13165_10035,New York City,New York,East 
TH-21550_10035,New York City,New York,East 
AP-10915_32137,Palm Coast,Florida,South
RS-19765_10550,Mount Vernon,New York,East 
Dl-13600_98105,Seattle,Washington,West 
SV-20365_19901,Dover,Delaware,East 
KC-16540_43055,Newark,Ohio,East 
CK-12325_84057,Orem,Utah,West 
RD-19810_90045,Los Angeles,California,West 
MP-17965_48205,Detroit,Michigan,Central
MR-17545_19140,Philadelphia,Pennsylvania,East 
SC-20695_33012,Hialeah,Florida,South
JF-15355_78745,Austin,Texas,Central
EG-13900_11572,Oceanside,New York,East 
DS-13030_98115,Seattle,Washington,West 
GZ-14470_94110,San Francisco,California,West 
PO-19195_60540,Naperville,Illinois,Central
SS-20875_75220,Dallas,Texas,Central
MH-17785_92105,San Diego,California,West 
PB-19105_60201,Evanston,Illinois,Central
RF-19735_48183,Trenton,Michigan,Central
YC-21895_94110,San Francisco,California,West 
MS-17830_90036,Los Angeles,California,West 
NB-18655_32216,Jacksonville,Florida,South
DC-13285_55016,Cottage Grove,Minnesota,Central
CP-12340_10009,New York City,New York,East 
BF-11020_54302,Green Bay,Wisconsin,Central
AR-10510_90004,Los Angeles,California,West 
JC-16105_30318,Atlanta,Georgia,South
LH-17020_43229,Columbus,Ohio,East 
CS-12250_71111,Bossier City,Louisiana,South
AJ-10795_33710,Saint Petersbur,Florida,South
LE-16810_22204,Arlington,Virginia,South
BV-11245_50315,Des Moines,Iowa,Central
DL-12865_45231,Cincinnati,Ohio,East 
NZ-18565_94110,San Francisco,California,West 
BM-11785_43229,Columbus,Ohio,East 
EA-14035_29203,Columbia,South Carolina,South
CL-12565_93534,Lancaster,California,West 
LT-17110_93534,Lancaster,California,West 
SA-20830_23223,Richmond,Virginia,South
JK-15730_28806,Asheville,North Carolina,South
ES-14020_94110,San Francisco,California,West 
RH-19495_55901,Rochester,Minnesota,Central
DB-13120_14609,Rochester,New York,East 
CD-11920_92530,Lake Elsinore,California,West 
HW-14935_92105,San Diego,California,West 
HW-14935_10024,New York City,New York,East 
MC-18130_71203,Monroe,Louisiana,South
GM-14440_94122,San Francisco,California,West 
RA-19915_80219,Denver,Colorado,West 
AA-10375_68104,Omaha,Nebraska,Central
ZC-21910_98026,Edmonds,Washington,West 
PJ-19015_92704,Santa Ana,California,West 
BW-11110_53209,Milwaukee,Wisconsin,Central
DB-13210_19140,Philadelphia,Pennsylvania,East 
CA-12775_19140,Philadelphia,Pennsylvania,East 
TR-21325_7109,Belleville,New Jersey,East 
PG-18820_94110,San Francisco,California,West 
GT-14710_55044,Lakeville,Minnesota,Central
JE-15745_41042,Florence,Kentucky,South
JB-15400_33614,Tampa,Florida,South
LH-17020_75701,Tyler,Texas,Central
JL-15175_38401,Columbia,Tennessee,South
EB-13705_76106,Fort Worth,Texas,Central
BM-11650_10035,New York City,New York,East 
EM-14095_90036,Los Angeles,California,West 
AF-10885_40214,Louisville,Kentucky,South
GA-14725_44052,Lorain,Ohio,East 
CK-12760_7036,Linden,New Jersey,East 
DP-13105_93905,Salinas,California,West 
VD-21670_39212,Jackson,Mississippi,South
GT-14710_10035,New York City,New York,East 
BK-11260_10035,New York City,New York,East 
SJ-20125_8901,New Brunswick,New Jersey,East 
CM-12445_94122,San Francisco,California,West 
AJ-10795_32216,Jacksonville,Florida,South
AJ-10780_22153,Springfield,Virginia,South
LS-16945_19140,Philadelphia,Pennsylvania,East 
GP-14740_17602,Lancaster,Pennsylvania,East 
PK-18910_19143,Philadelphia,Pennsylvania,East 
TB-21520_3301,Concord,New Hampshire,East 
SM-20005_10009,New York City,New York,East 
GA-14725_28205,Charlotte,North Carolina,South
CC-12430_3301,Concord,New Hampshire,East 
AG-10765_19120,Philadelphia,Pennsylvania,East 
HP-14815_10024,New York City,New York,East 
DK-13090_22153,Springfield,Virginia,South
GZ-14470_94109,San Francisco,California,West 
PM-19135_48227,Detroit,Michigan,Central
LL-16840_14609,Rochester,New York,East 
JS-15595_90045,Los Angeles,California,West 
OT-18730_92105,San Diego,California,West 
EL-13735_21044,Columbia,Maryland,East 
CK-12760_94122,San Francisco,California,West 
JE-15475_10801,New Rochelle,New York,East 
TH-21550_48227,Detroit,Michigan,Central
PC-18745_94122,San Francisco,California,West 
HL-15040_77095,Houston,Texas,Central
MS-17365_48227,Detroit,Michigan,Central
GB-14530_13021,Auburn,New York,East 
JR-16210_45503,Springfield,Ohio,East 
TD-20995_75043,Garland,Texas,Central
DB-13060_60653,Chicago,Illinois,Central
LC-17140_90032,Los Angeles,California,West 
PO-18865_10009,New York City,New York,East 
BE-11335_49201,Jackson,Michigan,Central
SC-20050_6360,Norwich,Connecticut,East 
BM-11650_53209,Milwaukee,Wisconsin,Central
KL-16555_78207,San Antonio,Texas,Central
RW-19630_75220,Dallas,Texas,Central
RC-19825_22304,Alexandria,Virginia,South
SE-20110_10009,New York City,New York,East 
AH-10075_10011,New York City,New York,East 
JM-15535_19143,Philadelphia,Pennsylvania,East 
JJ-15760_22153,Springfield,Virginia,South
AB-10165_43615,Toledo,Ohio,East 
RK-19300_19140,Philadelphia,Pennsylvania,East 
CG-12040_19120,Philadelphia,Pennsylvania,East 
RA-19885_87401,Farmington,New Mexico,West 
RP-19270_92503,Riverside,California,West 
KC-16255_94110,San Francisco,California,West 
RW-19630_90503,Torrance,California,West 
JL-15850_98105,Seattle,Washington,West 
CA-12775_85204,Mesa,Arizona,West 
RB-19795_19120,Philadelphia,Pennsylvania,East 
KH-16360_19143,Philadelphia,Pennsylvania,East 
GH-14665_78664,Round Rock,Texas,Central
SW-20275_39212,Jackson,Mississippi,South
JA-15970_85023,Phoenix,Arizona,West 
DL-12925_92054,Oceanside,California,West 
LW-16990_94110,San Francisco,California,West 
TB-21190_72701,Fayetteville,Arkansas,South
CV-12805_94110,San Francisco,California,West 
MS-17365_33433,Boca Raton,Florida,South
BS-11800_10011,New York City,New York,East 
DL-13315_19134,Philadelphia,Pennsylvania,East 
PO-19195_10011,New York City,New York,East 
TD-20995_97206,Portland,Oregon,West 
BW-11110_48205,Detroit,Michigan,Central
RW-19690_28403,Wilmington,North Carolina,South
KB-16600_47201,Columbus,Indiana,Central
EB-13870_10035,New York City,New York,East 
TZ-21580_80027,Louisville,Colorado,West 
AS-10630_77506,Pasadena,Texas,Central
TS-21340_77041,Houston,Texas,Central
JG-15805_13021,Auburn,New York,East 
SL-20155_32216,Jacksonville,Florida,South
TS-21610_10024,New York City,New York,East 
RF-19735_95123,San Jose,California,West 
MW-18235_23464,Virginia Beach,Virginia,South
RD-19585_42420,Henderson,Kentucky,South
FM-14290_98661,Vancouver,Washington,West 
RH-19495_10024,New York City,New York,East 
RA-19945_92563,Murrieta,California,West 
JK-15730_28540,Jacksonville,North Carolina,South
MT-17815_85254,Scottsdale,Arizona,West 
PO-18850_52601,Burlington,Iowa,Central
AT-10735_60653,Chicago,Illinois,Central
VG-21790_92037,San Diego,California,West 
PF-19165_98502,Olympia,Washington,West 
JS-15880_98103,Seattle,Washington,West 
MO-17800_90036,Los Angeles,California,West 
KM-16225_10011,New York City,New York,East 
GT-14710_20016,Washington,District of Co,East 
PB-19150_19134,Philadelphia,Pennsylvania,East 
HR-14770_90045,Los Angeles,California,West 
DE-13255_45503,Springfield,Ohio,East 
LA-16780_7601,Hackensack,New Jersey,East 
AG-10390_45231,Cincinnati,Ohio,East 
EL-13735_65109,Jefferson City,Missouri,Central
JJ-15445_90004,Los Angeles,California,West 
JH-15430_27217,Burlington,North Carolina,South
RD-19660_63376,Saint Peters,Missouri,Central
MO-17500_10035,New York City,New York,East 
NS-18640_60610,Chicago,Illinois,Central
SN-20710_61107,Rockford,Illinois,Central
ZC-21910_33142,Miami,Florida,South
LC-16885_94109,San Francisco,California,West 
DG-13300_19134,Philadelphia,Pennsylvania,East 
NF-18595_10009,New York City,New York,East 
BP-11185_92037,San Diego,California,West 
MG-17650_19143,Philadelphia,Pennsylvania,East 
JD-16060_77095,Houston,Texas,Central
TS-21160_43615,Toledo,Ohio,East 
BD-11620_94122,San Francisco,California,West 
CM-12160_78521,Brownsville,Texas,Central
RB-19795_19143,Philadelphia,Pennsylvania,East 
SN-20560_90008,Los Angeles,California,West 
EH-14005_80219,Denver,Colorado,West 
FO-14305_10035,New York City,New York,East 
MS-17710_85204,Mesa,Arizona,West 
CC-12100_47201,Columbus,Indiana,Central
DW-13540_98105,Seattle,Washington,West 
BT-11395_48227,Detroit,Michigan,Central
KD-16270_10701,Yonkers,New York,East 
LC-16870_50315,Des Moines,Iowa,Central
CY-12745_94601,Oakland,California,West 
LW-16990_28110,Monroe,North Carolina,South
NP-18325_92105,San Diego,California,West 
BT-11485_20735,Clinton,Maryland,East 
PS-19045_28205,Charlotte,North Carolina,South
NS-18640_90049,Los Angeles,California,West 
PV-18985_94122,San Francisco,California,West 
RP-19390_77041,Houston,Texas,Central
NM-18520_92503,Riverside,California,West 
EH-13945_77041,Houston,Texas,Central
RA-19915_92024,Encinitas,California,West 
DL-13495_94110,San Francisco,California,West 
CS-12355_30076,Roswell,Georgia,South
HL-15040_72401,Jonesboro,Arkansas,South
PA-19060_47374,Richmond,Indiana,Central
BD-11605_22153,Springfield,Virginia,South
GG-14650_94509,Antioch,California,West 
JS-15940_19134,Philadelphia,Pennsylvania,East 
LR-16915_33030,Homestead,Florida,South
FH-14275_46350,La Porte,Indiana,Central
AP-10915_90045,Los Angeles,California,West 
NC-18340_48911,Lansing,Michigan,Central
CB-12535_44221,Cuyahoga Falls,Ohio,East 
KL-16555_89502,Reno,Nevada,West 
PS-19045_22801,Harrisonburg,Virginia,South
GB-14530_90004,Los Angeles,California,West 
AA-10315_55407,Minneapolis,Minnesota,Central
LT-16765_92025,Escondido,California,West 
AP-10720_10035,New York City,New York,East 
PM-18940_49201,Jackson,Michigan,Central
KC-16540_98115,Seattle,Washington,West 
DL-13315_10035,New York City,New York,East 
SW-20275_48073,Royal Oak,Michigan,Central
AA-10375_90008,Los Angeles,California,West 
LT-17110_61701,Bloomington,Illinois,Central
DP-13105_10035,New York City,New York,East 
AB-10060_3301,Concord,New Hampshire,East 
AT-10435_90004,Los Angeles,California,West 
JE-15745_20852,Rockville,Maryland,East 
CA-12055_77070,Houston,Texas,Central
DB-13060_8701,Lakewood,New Jersey,East 
RB-19570_28540,Jacksonville,North Carolina,South
HR-14830_98103,Seattle,Washington,West 
BT-11530_90036,Los Angeles,California,West 
NG-18355_33065,Coral Springs,Florida,South
ZC-21910_77041,Houston,Texas,Central
LS-16945_80219,Denver,Colorado,West 
LH-16750_28205,Charlotte,North Carolina,South
SW-20755_10009,New York City,New York,East 
SP-20620_19134,Philadelphia,Pennsylvania,East 
BF-11170_90036,Los Angeles,California,West 
BM-11140_10024,New York City,New York,East 
ZC-21910_90045,Los Angeles,California,West 
KT-16480_14215,Buffalo,New York,East 
BG-11695_45231,Cincinnati,Ohio,East 
PG-18820_33437,Boynton Beach,Florida,South
GM-14680_98105,Seattle,Washington,West 
MO-17800_10024,New York City,New York,East 
PG-18820_10009,New York City,New York,East 
EJ-14155_39503,Gulfport,Mississippi,South
NP-18700_93727,Fresno,California,West 
DJ-13630_10009,New York City,New York,East 
IM-15070_53209,Milwaukee,Wisconsin,Central
MH-18115_19013,Chester,Pennsylvania,East 
RB-19795_28205,Charlotte,North Carolina,South
JR-15700_32216,Jacksonville,Florida,South
SM-20950_27834,Greenville,North Carolina,South
CS-12355_11561,Long Beach,New York,East 
CC-12220_46350,La Porte,Indiana,Central
PF-19225_94122,San Francisco,California,West 
JC-16105_90045,Los Angeles,California,West 
BG-11695_80027,Louisville,Colorado,West 
DC-12850_35630,Florence,Alabama,South
SP-20545_60623,Chicago,Illinois,Central
MS-17710_76106,Fort Worth,Texas,Central
BD-11770_77070,Houston,Texas,Central
KC-16255_31204,Macon,Georgia,South
TR-21325_52402,Cedar Rapids,Iowa,Central
SA-20830_32216,Jacksonville,Florida,South
KW-16435_78745,Austin,Texas,Central
GM-14500_2908,Providence,Rhode Island,East 
AD-10180_10035,New York City,New York,East 
TB-21355_10009,New York City,New York,East 
CC-12430_94122,San Francisco,California,West 
PF-19165_92105,San Diego,California,West 
JH-16180_81001,Pueblo,Colorado,West 
EB-13975_94533,Fairfield,California,West 
QJ-19255_55106,Saint Paul,Minnesota,Central
AA-10315_94109,San Francisco,California,West 
LC-17140_22153,Springfield,Virginia,South
TC-21535_22204,Arlington,Virginia,South
CS-12460_31907,Columbus,Georgia,South
BM-11785_77036,Houston,Texas,Central
RC-19825_91104,Pasadena,California,West 
FM-14380_1841,Lawrence,Massachusetts,East 
PK-19075_43229,Columbus,Ohio,East 
HG-14965_90032,Los Angeles,California,West 
HA-14920_19120,Philadelphia,Pennsylvania,East 
LW-16825_32725,Deltona,Florida,South
MC-17575_45231,Cincinnati,Ohio,East 
LP-17095_42071,Murray,Kentucky,South
EB-14170_28403,Wilmington,North Carolina,South
GZ-14545_1841,Lawrence,Massachusetts,East 
LE-16810_60653,Chicago,Illinois,Central
AD-10180_19120,Philadelphia,Pennsylvania,East 
CP-12085_6360,Norwich,Connecticut,East 
FG-14260_94110,San Francisco,California,West 
LD-17005_94109,San Francisco,California,West 
AB-10255_44052,Lorain,Ohio,East 
MN-17935_75220,Dallas,Texas,Central
HP-14815_90049,Los Angeles,California,West 
JR-15670_6457,Middletown,Connecticut,East 
JF-15190_90008,Los Angeles,California,West 
CM-12115_10011,New York City,New York,East 
AS-10045_28540,Jacksonville,North Carolina,South
KB-16315_11520,Freeport,New York,East 
BN-11515_55044,Lakeville,Minnesota,Central
BP-11290_60201,Evanston,Illinois,Central
AS-10045_22204,Arlington,Virginia,South
