BreedID	strangeraggr	owneraggr	dogaggr	dogfear	dogrivalry	trainability	chasing	strangerfear	nonsocialfear	sepprobs	touchsens	excitability	attachatten	energy
Golden Retriever	0.1	0	0	0	0.5	3.625	0	0	0.1666666667	0	0.25	0.8333333333	0.1666666667	2
Gordon Setter	0.4	0	1	0.75	2.5	1.5	2	0	0.6666666667	0	0.5	2	1	2
Gordon Setter	0.5	0	0.5	0	0.75	3.25	3	0.25	0.1666666667	0.25	0.25	2	1.6666666667	2
Gordon Setter	0	0	0	0	0	2.125	2.25	0	0.3333333333	0.25	0.5	2	2.1666666667	2
Gordon Setter	0	0	0	0	0	2.875	0	0	0.1666666667	1.75	0.25	2.1666666667	1.8333333333	1.5
Gordon Setter	0.4	0	0.25	0.25	1.5	1.625	3	0	0.5	1.5	0.25	2.6666666667	2.5	3
Mixed Breed/Unknown	0.2	0.125	0	0.25	0	3.125	0	0	0.1666666667	0.375	0.25	1.3333333333	0.3333333333	1
Rottweiler	1	0	0	0		2.75	1.25	0.5	0	0.125	0	0.8333333333	1.3333333333	0.5
Poodle (Miniature)	0.625	0		1.25	0	2.375	3	2	0.8333333333	0		2.4	1.6666666667	2
Beagle	1.1	0.25		0.3333333333		1.375	3.25	0	0.1666666667	1.625	0.6666666667	2.8333333333	2.2	2
Doberman Pinscher	1.2	0	0.75	1	0	2.375	2.75	1	0	0	0		2.2	3
Doberman Pinscher	1	0.375	0	0.3333333333		3	1.25	1	0.8333333333	0	0.5	2.1666666667	1.5	3
Mixed Breed/Unknown	1.5	0	2.25	2.25		2.5	1.5	1.75	1.3333333333	0.75	0.25	2.8	2.3333333333	2.5
English Setter	0	0	0	0	0	3.375	2.6666666667	0.5	0	0.125		1.5	0	2.5
Siberian Husky	0	0	0.6666666667	0.3333333333	0.75	2.25	2.25	0	0.3333333333	0.625	0.5	2.3333333333	2	3
Fox Terrier (Toy)	1.1	0.625	0.5	1	2	1.375	1	1.75	2	1.625	0.75	1.6666666667	2.5	2
Basenji				2.75		1.4285714286	4	1.25	1	0	1.5	1.3333333333	1.3333333333	0
Mixed Breed/Unknown	1	1	1		1	1.5	1.75	1	0.8333333333	0.25	0.3333333333	4	3	2.5
Doberman Pinscher	0.2	0	0	0	0	3.75	1.25	0	0.1666666667	0	0	0.1666666667	1.6666666667	1.5
Great Dane	0.4444444444	0	0.25	0.25	0	3.5	0	0	0.6666666667	0.375	0	1.6666666667	2	1
Lagotto Romagnolo	1	0	0	0	0	3.25	0.5	1	0	0.125	0	1.8333333333	2.5	2
Portuguese Water Dog	0.3	0	1.25	1	0.25	3.625	2.25	0	0.1666666667	0	0.25	1.3333333333	2.3333333333	3
Mixed Breed/Unknown		0	0	0		2	3	0	0.4	1.25	0	1.1666666667	2.6666666667	3
Irish Setter	0	0	0	0	0	0.875	0.5	0	0.3333333333	0.125	0.25	0	1.1666666667	0
Irish Setter	0	0	0	0	0	2.625	1	0	0.1666666667	0	0	0.5	1	0.5
Irish Setter	0.3	0	1	0	0	2.75	2.5	0	0	0	0	1	1.5	0.5
Irish Setter	0.2	0	0	0.3333333333	0	2.75	2	0	0.1666666667	0	0	0.5	1.1666666667	0
Mixed Breed/Unknown	0.4	0	2	0.25	1.25	2	2.25	0	0.5	0.25	1	2.5	2.1666666667	1
Mixed Breed/Unknown	1.2	0	1.5	0	0	1	2.75	2.5	1	0	1.3333333333	1.6666666667	1.1666666667	2
Rottweiler	0.4	0	1.25	1.25	0.75	3	1.75	0.5	0	0.25	0.25	1.3333333333	2	2
Poodle (Standard)	0.25	0	0.75	0.5	0.5	3	2.25	0.25	0.1666666667	0.25	0	2	1.6666666667	2.5
English Setter	0	0	0		0	3.75	0.5	0	0	0	0	0.8333333333	0.5	2
Mixed Breed/Unknown	0.1	0	1	0	0	3.125	1.5	0	0	0	0	1	0.1666666667	1
English Setter	0	0	0	0	0	2.375	0.5	0	0	1.125	0	1.1666666667	1.1666666667	2
English Setter	0	0	0	0	0	3.25	1.5	1.5	0.5	0	0.25	1.3333333333	0.8333333333	2
Collie	0	0	0	0.25	0		2.25	0	0.3333333333	0	0.25	2.8333333333	2.1666666667	3.5
Doberman Pinscher	1	0.25	1.25	0.25	0.75	2.625	3	0.25	0.3333333333	0.375	0.25	3	1.8333333333	3
Portuguese Water Dog	0	0.25	0.25	0.5		3.5	2.5	0	0.5	0.5	1.75	2	2.3333333333	3
Cocker Spaniel (English)	0	0	0.25	0.25	0	3	2.25	0	0	0.2857142857	0	2.1666666667	3.1666666667	2.5
Golden Retriever	0.5	0	0.25	0.25	0.5	2.125	0.75	0	1.5	0.625	0.5	2	1.8333333333	0.5
Rottweiler	0.3	0	1.75	0.5	2	3.125		0	0	0	0	2.3333333333	1.5	1
Rottweiler	1.2	0	0.5	0	0	2.75	4	1.75	0.3333333333	0	0	3	1.8333333333	1.5
Rottweiler	0.7	0	0.5	0.25	0	3.75	3.5	0	0	0	0	1.6666666667	2.8333333333	0
German Shepherd	0.4	0.125	1.5	0		2.25	3	0	0	0.375	0.25	2.5	2.1666666667	3
Jack Russell Terrier	1.3333333333	0.625	0.75	1.75		2.75	2.25	0.75	0.8333333333	0.5	1.75	2.5	2.6666666667	2
Airedale Terrier	0	0	0	0	0	3.125	2	0	0	0	0	1	1	1
Mastiff (English)	0	0	0	2.25	0	2.25	1	3	2.4	0.625	1.25	2.3333333333	1.8333333333	2.5
Pug	0	0	0	1	0	2.125	0.75	0	1.1666666667	0	2.25	2.8333333333	2.3333333333	1
Bernese Mountain Dog	0	0	0.75	0	0.75	2.25	0.75	0	0.3333333333	0	0.25	2.8333333333	1.5	1.5
Soft Coated Wheaten Terrier	1.2	2	1.25	0	2	2.25	1.5	0	1.3333333333	0.25	2.5	2.8333333333	1.6666666667	1
Kuvasz	1.1111111111	0	2	2	0	3	3.5	2	0.3333333333	0	0.5	2.3333333333	1.5	0.5
Border Collie	0.9	0.1428571429	0.25	0.75	0.75	3.5	2.5	0.5	0	0	1	3.6666666667	2.3333333333	3
Border Collie	0	0	0	0.5	0	2.875	0	0.25	1.6666666667	0	1.25	2.5	1.8333333333	3
Border Collie	0.3	0	0.25	0.5	0	3.375	1	0.75	1	0	1	2.5	1.1666666667	3
Saint Bernard	1	0	3.6666666667	0	0.25	1.625	4	0.25	0.5	2	1	3.8333333333	2.6666666667	4
Brittany	0.375	0	0	0.5	0	2.5	3	0.25	0.4	0.75	1.25	1.6	1.8333333333	2.5
Australian Cattle Dog		0		2.3333333333		2.375	4	3.5	1.5	1	1	4	2.4	4
Rottweiler	3.3	0.875	2.25	0	1.75	2.125	4	0	0	0	0	3.1666666667	2.6666666667	4
Rottweiler	0	0	0.5	0.5	0.5	3.125	1.75	0	0	0	0.25	2	2.8333333333	4
Rottweiler	1	0	2.5	3.25	0.25	3.875	2.5	1.5	2	0.25	0	2.8333333333	4	3
Rottweiler	0.8	0.75	3	0	4	2.625	4	0	0	0.375	0	3.5	0.5	1
American Staffordshire Terrier	1.6666666667	0	3	0	0.5	2.5714285714	1.75		2.8	0.875	1	3	2	1
English Springer Spaniel	0.5	0.125	0.25	0	1.5	2.5	2.25	0.25	0.5	0.125	0.25	1.5	0.3333333333	0.5
Rottweiler	1.1	0.125	1	0.75	0.75	2.75	1.25	0.5	0.6666666667	0	0.5	1.5	1.6666666667	1.5
Rottweiler	0.7	0	0	0.25	1.25	3.25	1.25	1.25	0.3333333333	0.125	1	1.8333333333	2.3333333333	2.5
German Shepherd	0.7	0	0.25	0	0.75	2.75	2.25	0	0	0.125	0.5	2.3333333333	1.5	2.5
Siberian Husky	0	0	0	0	0.5	2.625	3.5	0	0	0.625	0	2	2	3
Shetland Sheepdog	0	0	0	1	0	3	0	0.25	0.6666666667	0	0	0.6666666667	1.8333333333	1.5
Golden Retriever	0	0	0	0	0	2	0	0.5	0	0	0	2	0.8333333333	0
Mixed Breed/Unknown	0.5	0	3.25	3.75	0.5	2.5	1	0.5	1	0.625	1.25	2	1.8333333333	2.5
Poodle (Standard)	0	0	0	0	0	2.625	1.5	1.75	4	0.75	1.25	2.1666666667	3.1666666667	2.5
Tibetan Terrier	0.3	0.125	1.75	1.75	2	2.375	1.3333333333	0	0.1666666667	1.25	0	1.8333333333	3	0.5
Tibetan Terrier	0.2	0	0	0.5	0	2.125		0	0.6666666667	0.625	0.5	0.8333333333	1	2
Mixed Breed/Unknown	0.5	0	0	1.5		2.75	1.5	1.5	0.6666666667	1.625	2	3.5	1.8333333333	2
German Shepherd	0	0	0	0	1.5	3.75	2.25	0	0	0	0	2	1	3
German Shepherd	1.2	0	1.25	0	1.5	2.75	3	0	0	0	0	3	1.6666666667	3
Rhodesian Ridgeback	0.2	0	0	0	0	2	3	0.5	0	0.25	0	1.6666666667	0.3333333333	1.5
Pembroke Welsh Corgi	0	0.875	0	0.25	1	2.375	0.5	0	0	0.875	0.5	2.6666666667	2	2.5
Labrador Retriever	0.4	0	1	0.75	0.25	2.75	1.5	0	0	0	0.25	2.6666666667	0.6666666667	3
Portuguese Water Dog	0	0	0	0.25	0	2.75	2	0.25	0.1666666667	0	1	1.8333333333	1.1666666667	3
Poodle (Standard)	0.125	0	0	0.25		3.4285714286	1.75	1	0	0.5	0.3333333333	0.8333333333	1.5	2
Whippet	0	0	1.25	1.25	0	2.5	2.75	0.5	0.6666666667	0	0.25	0.8333333333	1.1666666667	1
Whippet	0	0	0	0	0	2.625	3	0.25	0.3333333333	0	0	0.8333333333	2.1666666667	1
Soft Coated Wheaten Terrier	1.5555555556	0.125	2.75	3.3333333333		2.75	4	0		0.8571428571	0.6666666667	1.8333333333	2.4	4
Basset Hound	0.3	1.75	1	1.25	1.6666666667	2.125	2.25	0	0.3333333333	0.875	2	2.1666666667	2.1666666667	0.5
Labrador Retriever	0	0	0	1.75	0.25	2	2.75	0	0.1666666667	1.25	0	1.1666666667	3.6666666667	1
Havanese	0.2	0	0	0		2.375	2.5	0	0.6666666667	0		2	2	0
Afghan Hound	0.3	0.125	1	0.75	0.5	2.625	4	0	0.1666666667	0.75	2.25	3.1666666667	1.8333333333	2.5
Gordon Setter	0.3	0.25	1	0	0.5	2.625	1.5	0	0.8333333333	0	0	1.3333333333	2	3
Bichon Frise	1.9	0	1.25	1	0	2.5	1.6666666667	2	1.5	0.375	0.75	2.5	2.3333333333	0.5
Mixed Breed/Unknown	0.8	0	3	0.5	1.25	2	1.25	4	1.5	1.375	0.75	2.3333333333	2.6666666667	0.5
Mixed Breed/Unknown	0.5	0	1.5	1	1.25	3	1.75	1	1.8333333333	0.875	0.75	2.5	2.5	0.5
Great Dane	1.7	0.125	2	2.5	1	1.625	2.25	1.5	1.1666666667	0.875	0.5	3	2.5	2
Mixed Breed/Unknown	0	0.125	0	0		2.625	1.75	0.25	0.3333333333	0.25	0	2.5	1.3333333333	3
Jack Russell Terrier	0	0	0.5	0.25		3	1.75	0	1.4	1	0	2.1666666667	2	2
Australian Cattle Dog		0	0	0		3.375		0	0	0.375	0	2.3333333333	1.8333333333	4
Havanese	0	0	0	1	0	2.625	2	1.5	0.5	0.125	0	1.3333333333	1.1666666667	0.5
Mixed Breed/Unknown	0.1	0	0.25	0.5	0	2.25	3	3.75	2.1666666667	1.125	1.25	1.6666666667	2.1666666667	
French Bulldog	0.875	1.625	1	0.75	1.25	1.25	0	0.75	1.4	1.625	0.3333333333	2.4	1.6	4
Brittany	0.25	0	0.25	1		2.5714285714	2	0	0.6666666667	0.875	0.6666666667	0.8333333333	2.8333333333	2
Collie	0.2	0	0	0.25	0.25	3.5	0.25	0	0.3333333333	0.375	0.5	2.1666666667	2.1666666667	1.5
Border Collie	1.3333333333	0.375	0.25	1.5	0.75	2.75	2.5	2	0.6666666667	1.625	0.75	3.5	3.8333333333	3
German Shepherd	0.375	0	1	0	3.3333333333	3.125	3.6666666667	0	0.5	0.875	0.5		0.8333333333	4
German Shepherd	0.5	0	0.5	0	0.25	3	1.5	0	0.3333333333	0	0	0.8333333333	1.6666666667	1.5
Whippet	0	0	0	0	1	2.875	2.75	0	0.3333333333	1	0.75	1.2	1	1.5
Vizsla	0	0	0	0	0	3.375	1	0	0.1666666667	0.25	0.25	2.2	2.2	3
Lowchen	0	0	0.5	0.5	0	3.625	2	0	0.1666666667	0	0.25	1.6666666667	1.6666666667	2
Irish Water Spaniel	0	0	0	0.5	0	3.375	1.5	0	0	0	0	2	1.5	3
Irish Water Spaniel	0.4	0	1	0.75	0.5	3.375	2.5	0	0.5	0	0.75	2	1.6666666667	1.5
Border Collie	0.7	0	0	0.5	0	3.375	3	0	1	0	1.75	3	2.8333333333	2
English Springer Spaniel	0	0	0	0.25	0	2.2857142857	2.25	0.25	0.1666666667	0.25	0		1.5	2
English Springer Spaniel	0.2	0	0.25	0	0.5	2.8571428571	2.5	0	0	0.25	0	1.8	1.3333333333	2
English Springer Spaniel	0	0	0	1	0	2.2857142857	2.25	2.5	0.8333333333	0	0.25		1.3333333333	3
English Springer Spaniel	1	0	1.25	1.5	0.5	3	3.25	1.75	0.3333333333	0.5	0	2	2.3333333333	2
English Springer Spaniel	0	0	0	1	0	2.4285714286	2.75	1	0	0.25	0	2	1.8333333333	2
Golden Retriever	0	1.25	0.5	1	0	3.375	3.5	0	0.6666666667	0.75	1.25	2.6666666667	3.1666666667	2.5
Australian Cattle Dog	1.3	0	0.5	0	0.75	2.5	0	1.5	0.6666666667	1	1.25	2.1666666667	1.5	0
Labrador Retriever	0.2	0	1.75	2.5	0	2.5714285714	2.25	0.5	1	0.125	0.25	2.3333333333	1.6666666667	2.5
Dalmatian	0.1	0	0	0	0.25	2.75	1.5	0	0.3333333333	1	0	1.5	2	1
Border Collie	0.9	0	1.5	0.25	0.5	3.875	3.25	0	1.3333333333	0	0.5	3	2.1666666667	4
Australian Shepherd	4	0	4	0.5	1.5	3.25	4	3.5	1.1666666667	0	0.75	3	3.3333333333	2.5
Portuguese Water Dog	0.4	0	2.5	2	0.25	2.75	2.25	1.25	0.8333333333	0.25	0	2.6666666667	1.8333333333	2
Cocker Spaniel (American)	0	1.125	0	0.5		3.25	3.5	0	1.3333333333	1.25	1.6666666667	1.6666666667	3.1666666667	3
Pug	0	0	0	0.25	0	2.875	3	0	0.3333333333	0	0.75	2	2.6666666667	1.5
Australian Shepherd	0.4	0	2	2	0	3.875	2.25	0.75	0.8333333333	0.125	0	2	2.5	4
Mixed Breed/Unknown	0.3	0	0	0	0	2.75	2.5	0.25	0.6666666667	0.5	0.5	2	1.6666666667	2
Mixed Breed/Unknown	0.5	0	0.25	0	0	0.875		0		0.625		3.6666666667	3.5	4
Portuguese Water Dog	0	0	1	0	0	2.625	0.75	0	0	0	0	1.5	1.8333333333	2
German Shepherd	1.3	0	4	4	0	3.25	0.75	0.75	0.1666666667	0	0	2.5	1.6666666667	2.5
Doberman Pinscher	1.1	0	1.6666666667	2		2.5	3	1	0.3333333333	0.75	0	0.8333333333	2.8333333333	3
Golden Retriever	0.1	0	0.25	1	0	2	2.75	0.25	0.3333333333	0	0	1.6666666667	1.5	1.5
Black and Tan Coonhound	0	0.375	0	0	0.5	1.875	0.75	0	0	0.625	0	3.6666666667	2.5	2.5
Papillon	0.4	0.125	0.25	0	0	3	1	0	0.6666666667	0.125	0.75	1.8333333333	1.6666666667	1.5
Mixed Breed/Unknown	0.2	0	2.5	0.5	0.25	3.25	3.25	0.5	0.6666666667	0	0	1.8333333333	0.6666666667	0.5
Mixed Breed/Unknown	0	0	0	2	0	2.875	1	1	2	1	1	2.3333333333	1.8333333333	1.5
American Pit Bull Terrier	0.3	0	0	0	0	3.375	1.5	1	0.1666666667	0.125	0.25	2.1666666667	2.3333333333	3.5
Irish Red and White Setter	1.1	0.5	0.6666666667	0.25	2	1.875	2.75	0.25	0.3333333333	0.625	0.5	3.6666666667	3.6666666667	4
Doberman Pinscher	0.8	0.125	0.5	0	0	2.7142857143	1.5	0	0	0.4285714286	1	2.8333333333	4	2.5
German Shepherd	0.4	0	1.75	3	1	2.625	1.75	1.25	0.3333333333	0.375	0.5	2	1.5	4
Mixed Breed/Unknown	0.7	0	3	0	2	2	4	0.5	1.8	1.5	2.5	2.5	2.6666666667	1.5
Lhasa Apso	1.3	0	0	1.5	0.25	3.4285714286	0.75	1	0	1.25	0	2	1.6666666667	0.5
Lhasa Apso	1.6	0.25	0	2.5		2.375	1.5	2	0.3333333333	1.5	1	2	2.1666666667	1.5
German Shepherd	0	0	0.5	2	0	2.75	2.75	0	0	0	1	1.6666666667	2.6666666667	2.5
Welsh Springer Spaniel	1.1	0	0	1	0.5	2.25	1	1	0	1.125	0	1.5	1.8333333333	1.5
Airedale Terrier	0	0		0	0	2.4285714286	2.25		1.6666666667	0	1	3.6666666667	2.6666666667	3
Fox Terrier (Wire/Wire-haired)	1.5	1.25	2.5	0.75	2	2.125	4	0	0.2	2.25	2	3.1666666667		2.5
Chihuahua	0.8	0	0.25	0	0	2.75	2	2.25	1.1666666667	0.125	1.25	2.8333333333	3.1666666667	2.5
Border Collie	0.5	0	1	0.25	1	3	2.25	0	1.1666666667	0.125	0.5	3	1.6666666667	2
Border Collie	0.3	0	1.25	0	0.5	3.625	0	0	0.8333333333	0.25	0.25	3.1666666667	1.6666666667	3
Akita	0	0	3.3333333333	0		3.125	3.25	0	1	0	0.5	0.6666666667	1.1666666667	0
Mixed Breed/Unknown	2.3	0	2.5	1	0.5	2	2	2.25	0.6666666667	0.75	0.5	2.5	2.1666666667	1
Bearded Collie	0	0	0.25	0	0.5	2	3.5	0	0	0	0	2.3333333333	2.3333333333	1.5
Bearded Collie	0	0	0	0	0.25	3.25	3	0	1.1666666667	0	0.25	2.6666666667	0.8333333333	1
Bearded Collie	0	0	1.75	2.75	4	2.125	2.5	0	0	0	0	2.6666666667	2.6666666667	0
Tibetan Terrier	0.4	0.4285714286	1.3333333333	1.3333333333	0.5	1.75	2.3333333333	1.25	1.6	0.875	1.5	2.8	1.6666666667	2
Havanese	0	0	0	0	0	2.75	1.5	0	0.3333333333	0.125	0.25	2.1666666667	1.3333333333	2
Great Pyrenees	0.9	0		0	1.5	1.75	1.25	0	1.3333333333	1.25	0.25	2	2.1666666667	1.5
Pug	0.1	0.5	0	0	0.75	2.5	1.75	0	0.3333333333	0.625	2.5	2.3333333333	1.5	0
Pug	0.3	0.125	0.25	0	0.25	1.7142857143		0	2.6666666667	1.625	0.6666666667	2.8333333333	2.5	2
Golden Retriever	0.2	0	0	0.3333333333	0	3.5	1.5	0	0.6666666667	0.5	0	1.6666666667	1.1666666667	2
Rottweiler	0.8	0	0.25	0.25	0.5	3.625	1.25	0	0.5	0.375	0.5	2	2.8333333333	2
Labrador Retriever	0.6666666667	0.375	1	1	0.75	3	4	0.5	0.3333333333	0.375	0.5	1.8333333333	0.5	1.5
Cardigan Welsh Corgi	0.125	0	1	0.75	0.75	2.375	2.75	1.5	1	1.875	2	1.6666666667	2	2.5
Doberman Pinscher	0.6	0	0.6666666667	0	0.5	3	4	0	0.1666666667	1.125	0.25	2.8333333333	2	3.5
Great Dane	0	0	0	1.25	0.5	2.5	3.25	0	0.8333333333	0.5	1.5	2.5	1.3333333333	2
Akita	1	0	1.5	0.5	0	2.25	3.25		0.1666666667	0	0	2.3333333333	1.3333333333	1.5
Mixed Breed/Unknown	0.25	0	0	0		1.8571428571	0.5	0	0.3333333333	0.375		0.8	0.6666666667	0
Border Collie	0.7	0	1.25	0.25	1.25	3.625	0	1	2.1666666667	0	0	2.3333333333	2	0
Scottish Terrier	1.6	0	1.25	0.25	0	3.125	3.5	0.5	0.1666666667	0	0.5	2.5	1.8333333333	2
Poodle (Toy)	1.4	2	1.25	1.6666666667		1.625	3.25	2.5	1.8	1	0.6666666667	3.5		3
Siberian Husky	0	0	0.25	0.25	0.75	2.875	0.5	0	0	0	0.5	1.5	1.6666666667	2
Siberian Husky	0	0	0.25	0	1	2.625	2.25	0	0	0	0.5	1.8333333333	1.6666666667	2
German Shepherd	1.8	0.25	1.75	0		2.625	3.25	0	0.6	0.125	2	3.5	3.6666666667	2.5
Mixed Breed/Unknown	0	0	0.25	2.25	0.25	3.125	1	0	0.2	0.125	0	2	3	2
Labrador Retriever	0	0	0	0	0	3.375	1	0	0	0.25	0	1.1666666667	1.6666666667	1.5
Akita	0.3333333333	0	0.3333333333		1	2.5	1.75	0.75	0.5	0.125	0.5	1	1.3333333333	1
Akita	1	1.875		0.3333333333	2	2.75	0.25	1	1.3333333333	0	1.25	1	0.5	1
Akita	0.2222222222	0	1	0	0.5	3.125	1.75	0	0	0	0.5	1	0.5	1
Shih Tzu	0.1	0.625	0			1.8333333333	0.25	0.25	0.6666666667	0	1.6666666667	0.3333333333	1.1666666667	0
